neuron_id,neuron_name,archive,1_1,1_2,1_3,1_4,1_5,1_6,1_7,1_8,1_9,1_10,1_11,1_12,1_13,1_14,1_15,1_16,1_17,1_18,1_19,1_20,1_21,1_22,1_23,1_24,1_25,1_26,1_27,1_28,1_29,1_30,1_31,1_32,1_33,1_34,1_35,1_36,1_37,1_38,1_39,1_40,1_41,1_42,1_43,1_44,1_45,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,2_9,2_10,2_11,2_12,2_13,2_14,2_15,2_16,2_17,2_18,2_19,2_20,2_21,2_22,2_23,2_24,2_25,2_26,2_27,2_28,2_29,2_30,2_31,2_32,2_33,2_34,2_35,2_36,2_37,2_38,2_39,2_40,2_41,2_42,2_43,2_44,2_45
177568,Homo-sapiens_-4203_BA46_1-3_a,falcone,9.91E-01,9.88E-01,9.84E-01,9.81E-01,9.77E-01,9.72E-01,9.67E-01,9.62E-01,9.56E-01,9.50E-01,9.44E-01,9.38E-01,9.31E-01,9.23E-01,9.16E-01,9.08E-01,9.00E-01,8.91E-01,8.82E-01,8.73E-01,8.64E-01,8.54E-01,8.45E-01,8.35E-01,8.24E-01,8.14E-01,8.03E-01,7.92E-01,7.81E-01,7.70E-01,7.59E-01,7.47E-01,7.35E-01,7.12E-01,6.87E-01,6.63E-01,6.38E-01,6.13E-01,5.88E-01,5.63E-01,5.37E-01,5.12E-01,4.87E-01,4.63E-01,4.38E-01,9.90E-01,9.87E-01,9.84E-01,9.80E-01,9.75E-01,9.71E-01,9.66E-01,9.60E-01,9.55E-01,9.49E-01,9.42E-01,9.35E-01,9.28E-01,9.21E-01,9.13E-01,9.06E-01,8.97E-01,8.89E-01,8.80E-01,8.71E-01,8.62E-01,8.52E-01,8.42E-01,8.32E-01,8.22E-01,8.12E-01,8.01E-01,7.90E-01,7.79E-01,7.68E-01,7.57E-01,7.45E-01,7.33E-01,7.10E-01,6.86E-01,6.61E-01,6.36E-01,6.11E-01,5.86E-01,5.61E-01,5.36E-01,5.11E-01,4.86E-01,4.61E-01,4.37E-01
177616,Homo-sapiens_-4203_BA46_1-3_b,falcone,9.96E-01,9.95E-01,9.94E-01,9.92E-01,9.90E-01,9.89E-01,9.87E-01,9.85E-01,9.83E-01,9.81E-01,9.78E-01,9.76E-01,9.74E-01,9.71E-01,9.69E-01,9.66E-01,9.64E-01,9.61E-01,9.58E-01,9.56E-01,9.53E-01,9.50E-01,9.47E-01,9.44E-01,9.41E-01,9.38E-01,9.35E-01,9.32E-01,9.29E-01,9.25E-01,9.22E-01,9.19E-01,9.16E-01,9.09E-01,9.02E-01,8.95E-01,8.87E-01,8.80E-01,8.72E-01,8.64E-01,8.56E-01,8.48E-01,8.39E-01,8.30E-01,8.22E-01,9.93E-01,9.91E-01,9.89E-01,9.87E-01,9.85E-01,9.82E-01,9.80E-01,9.77E-01,9.75E-01,9.72E-01,9.70E-01,9.67E-01,9.64E-01,9.62E-01,9.59E-01,9.56E-01,9.54E-01,9.51E-01,9.48E-01,9.46E-01,9.43E-01,9.40E-01,9.37E-01,9.35E-01,9.32E-01,9.29E-01,9.26E-01,9.23E-01,9.20E-01,9.17E-01,9.14E-01,9.10E-01,9.07E-01,9.01E-01,8.94E-01,8.87E-01,8.80E-01,8.72E-01,8.65E-01,8.57E-01,8.49E-01,8.41E-01,8.33E-01,8.24E-01,8.16E-01
177644,Homo-sapiens_-4203_BA46_1-3_c,falcone,9.97E-01,9.96E-01,9.94E-01,9.93E-01,9.92E-01,9.90E-01,9.89E-01,9.87E-01,9.85E-01,9.83E-01,9.81E-01,9.79E-01,9.77E-01,9.75E-01,9.73E-01,9.71E-01,9.68E-01,9.66E-01,9.64E-01,9.61E-01,9.59E-01,9.56E-01,9.53E-01,9.51E-01,9.48E-01,9.45E-01,9.43E-01,9.40E-01,9.37E-01,9.34E-01,9.31E-01,9.28E-01,9.25E-01,9.19E-01,9.13E-01,9.07E-01,9.00E-01,8.93E-01,8.86E-01,8.79E-01,8.72E-01,8.64E-01,8.57E-01,8.49E-01,8.41E-01,9.94E-01,9.93E-01,9.91E-01,9.89E-01,9.87E-01,9.85E-01,9.82E-01,9.80E-01,9.78E-01,9.76E-01,9.73E-01,9.71E-01,9.69E-01,9.66E-01,9.64E-01,9.61E-01,9.59E-01,9.57E-01,9.54E-01,9.52E-01,9.49E-01,9.47E-01,9.44E-01,9.42E-01,9.39E-01,9.36E-01,9.34E-01,9.31E-01,9.28E-01,9.26E-01,9.23E-01,9.20E-01,9.17E-01,9.11E-01,9.05E-01,8.99E-01,8.92E-01,8.86E-01,8.79E-01,8.72E-01,8.65E-01,8.58E-01,8.50E-01,8.43E-01,8.35E-01
177617,Homo-sapiens_-5893_BA47_1-3_a,falcone,9.90E-01,9.87E-01,9.84E-01,9.80E-01,9.75E-01,9.70E-01,9.65E-01,9.60E-01,9.54E-01,9.48E-01,9.41E-01,9.34E-01,9.27E-01,9.19E-01,9.11E-01,9.03E-01,8.94E-01,8.85E-01,8.76E-01,8.67E-01,8.57E-01,8.47E-01,8.37E-01,8.26E-01,8.16E-01,8.05E-01,7.94E-01,7.83E-01,7.71E-01,7.59E-01,7.48E-01,7.36E-01,7.24E-01,6.99E-01,6.74E-01,6.49E-01,6.23E-01,5.97E-01,5.72E-01,5.46E-01,5.20E-01,4.95E-01,4.69E-01,4.44E-01,4.20E-01,9.89E-01,9.86E-01,9.82E-01,9.78E-01,9.73E-01,9.69E-01,9.63E-01,9.58E-01,9.51E-01,9.45E-01,9.38E-01,9.31E-01,9.24E-01,9.16E-01,9.08E-01,9.00E-01,8.91E-01,8.82E-01,8.73E-01,8.64E-01,8.54E-01,8.44E-01,8.34E-01,8.24E-01,8.13E-01,8.02E-01,7.91E-01,7.80E-01,7.69E-01,7.57E-01,7.45E-01,7.33E-01,7.21E-01,6.97E-01,6.72E-01,6.47E-01,6.21E-01,5.95E-01,5.70E-01,5.44E-01,5.18E-01,4.93E-01,4.68E-01,4.43E-01,4.18E-01
177629,Homo-sapiens_-5893_BA47_1-3_b,falcone,9.95E-01,9.93E-01,9.92E-01,9.90E-01,9.88E-01,9.85E-01,9.83E-01,9.80E-01,9.78E-01,9.75E-01,9.72E-01,9.69E-01,9.66E-01,9.63E-01,9.60E-01,9.57E-01,9.54E-01,9.51E-01,9.48E-01,9.44E-01,9.41E-01,9.38E-01,9.34E-01,9.31E-01,9.27E-01,9.24E-01,9.20E-01,9.17E-01,9.13E-01,9.10E-01,9.06E-01,9.02E-01,8.98E-01,8.91E-01,8.83E-01,8.75E-01,8.67E-01,8.59E-01,8.50E-01,8.42E-01,8.33E-01,8.24E-01,8.15E-01,8.06E-01,7.96E-01,9.90E-01,9.88E-01,9.85E-01,9.81E-01,9.78E-01,9.75E-01,9.72E-01,9.68E-01,9.65E-01,9.61E-01,9.58E-01,9.55E-01,9.52E-01,9.48E-01,9.45E-01,9.42E-01,9.39E-01,9.35E-01,9.32E-01,9.29E-01,9.26E-01,9.23E-01,9.19E-01,9.16E-01,9.13E-01,9.10E-01,9.06E-01,9.03E-01,9.00E-01,8.96E-01,8.93E-01,8.90E-01,8.86E-01,8.79E-01,8.72E-01,8.64E-01,8.56E-01,8.49E-01,8.40E-01,8.32E-01,8.24E-01,8.15E-01,8.06E-01,7.97E-01,7.88E-01
149406,Human_BA9_10yo_-210_1-2a,falcone,9.90E-01,9.87E-01,9.84E-01,9.80E-01,9.75E-01,9.71E-01,9.66E-01,9.60E-01,9.54E-01,9.48E-01,9.42E-01,9.35E-01,9.28E-01,9.20E-01,9.13E-01,9.05E-01,8.96E-01,8.88E-01,8.79E-01,8.70E-01,8.61E-01,8.51E-01,8.42E-01,8.32E-01,8.22E-01,8.11E-01,8.01E-01,7.90E-01,7.79E-01,7.68E-01,7.57E-01,7.46E-01,7.34E-01,7.11E-01,6.87E-01,6.63E-01,6.39E-01,6.15E-01,5.90E-01,5.65E-01,5.41E-01,5.16E-01,4.92E-01,4.68E-01,4.44E-01,9.88E-01,9.85E-01,9.80E-01,9.76E-01,9.71E-01,9.66E-01,9.61E-01,9.55E-01,9.49E-01,9.42E-01,9.35E-01,9.29E-01,9.21E-01,9.14E-01,9.06E-01,8.98E-01,8.90E-01,8.81E-01,8.72E-01,8.63E-01,8.54E-01,8.45E-01,8.35E-01,8.25E-01,8.15E-01,8.05E-01,7.94E-01,7.84E-01,7.73E-01,7.62E-01,7.51E-01,7.40E-01,7.28E-01,7.05E-01,6.82E-01,6.58E-01,6.34E-01,6.10E-01,5.85E-01,5.61E-01,5.36E-01,5.12E-01,4.88E-01,4.64E-01,4.40E-01
149499,Human_BA9_10yo_-210_1-2b,falcone,9.88E-01,9.85E-01,9.80E-01,9.76E-01,9.71E-01,9.65E-01,9.59E-01,9.52E-01,9.45E-01,9.38E-01,9.30E-01,9.22E-01,9.13E-01,9.04E-01,8.95E-01,8.85E-01,8.75E-01,8.65E-01,8.54E-01,8.43E-01,8.32E-01,8.20E-01,8.08E-01,7.96E-01,7.84E-01,7.72E-01,7.59E-01,7.46E-01,7.33E-01,7.20E-01,7.06E-01,6.93E-01,6.79E-01,6.51E-01,6.24E-01,5.96E-01,5.67E-01,5.39E-01,5.11E-01,4.84E-01,4.56E-01,4.29E-01,4.03E-01,3.77E-01,3.51E-01,9.87E-01,9.83E-01,9.79E-01,9.74E-01,9.68E-01,9.62E-01,9.56E-01,9.49E-01,9.42E-01,9.35E-01,9.27E-01,9.18E-01,9.09E-01,9.00E-01,8.91E-01,8.81E-01,8.71E-01,8.61E-01,8.50E-01,8.39E-01,8.28E-01,8.16E-01,8.04E-01,7.92E-01,7.80E-01,7.67E-01,7.55E-01,7.42E-01,7.29E-01,7.16E-01,7.02E-01,6.89E-01,6.75E-01,6.48E-01,6.20E-01,5.92E-01,5.64E-01,5.36E-01,5.08E-01,4.81E-01,4.53E-01,4.26E-01,4.00E-01,3.74E-01,3.49E-01
149436,Human_BA9_10yo_-210_3-10a,falcone,9.95E-01,9.93E-01,9.91E-01,9.89E-01,9.87E-01,9.85E-01,9.82E-01,9.80E-01,9.77E-01,9.74E-01,9.71E-01,9.68E-01,9.65E-01,9.62E-01,9.59E-01,9.56E-01,9.52E-01,9.49E-01,9.46E-01,9.42E-01,9.39E-01,9.36E-01,9.32E-01,9.29E-01,9.25E-01,9.21E-01,9.18E-01,9.14E-01,9.11E-01,9.07E-01,9.03E-01,8.99E-01,8.96E-01,8.88E-01,8.80E-01,8.72E-01,8.64E-01,8.55E-01,8.47E-01,8.38E-01,8.29E-01,8.20E-01,8.11E-01,8.01E-01,7.92E-01,9.90E-01,9.87E-01,9.84E-01,9.80E-01,9.77E-01,9.74E-01,9.70E-01,9.67E-01,9.63E-01,9.60E-01,9.56E-01,9.53E-01,9.50E-01,9.46E-01,9.43E-01,9.40E-01,9.37E-01,9.33E-01,9.30E-01,9.27E-01,9.24E-01,9.20E-01,9.17E-01,9.14E-01,9.11E-01,9.07E-01,9.04E-01,9.01E-01,8.97E-01,8.94E-01,8.90E-01,8.87E-01,8.83E-01,8.76E-01,8.68E-01,8.61E-01,8.53E-01,8.45E-01,8.37E-01,8.28E-01,8.20E-01,8.11E-01,8.02E-01,7.93E-01,7.83E-01
149378,Human_BA9_10yo_-210_3-10b,falcone,9.94E-01,9.92E-01,9.90E-01,9.87E-01,9.85E-01,9.82E-01,9.79E-01,9.75E-01,9.72E-01,9.68E-01,9.64E-01,9.60E-01,9.56E-01,9.52E-01,9.47E-01,9.43E-01,9.38E-01,9.33E-01,9.28E-01,9.23E-01,9.18E-01,9.13E-01,9.07E-01,9.02E-01,8.96E-01,8.90E-01,8.85E-01,8.79E-01,8.73E-01,8.67E-01,8.60E-01,8.54E-01,8.48E-01,8.35E-01,8.21E-01,8.08E-01,7.94E-01,7.79E-01,7.65E-01,7.50E-01,7.35E-01,7.20E-01,7.04E-01,6.88E-01,6.73E-01,9.91E-01,9.88E-01,9.85E-01,9.81E-01,9.78E-01,9.74E-01,9.70E-01,9.66E-01,9.62E-01,9.58E-01,9.54E-01,9.49E-01,9.45E-01,9.40E-01,9.35E-01,9.31E-01,9.26E-01,9.21E-01,9.16E-01,9.11E-01,9.06E-01,9.01E-01,8.95E-01,8.90E-01,8.84E-01,8.79E-01,8.73E-01,8.68E-01,8.62E-01,8.56E-01,8.50E-01,8.44E-01,8.37E-01,8.25E-01,8.12E-01,7.99E-01,7.85E-01,7.71E-01,7.57E-01,7.42E-01,7.27E-01,7.12E-01,6.97E-01,6.82E-01,6.66E-01
149328,Human_BA9_10yo_-210_3-10c,falcone,9.92E-01,9.90E-01,9.88E-01,9.85E-01,9.82E-01,9.79E-01,9.75E-01,9.72E-01,9.68E-01,9.64E-01,9.61E-01,9.57E-01,9.53E-01,9.49E-01,9.44E-01,9.40E-01,9.36E-01,9.32E-01,9.28E-01,9.23E-01,9.19E-01,9.15E-01,9.10E-01,9.06E-01,9.02E-01,8.97E-01,8.93E-01,8.88E-01,8.84E-01,8.79E-01,8.75E-01,8.70E-01,8.66E-01,8.56E-01,8.46E-01,8.37E-01,8.27E-01,8.16E-01,8.06E-01,7.95E-01,7.85E-01,7.74E-01,7.63E-01,7.51E-01,7.40E-01,9.85E-01,9.81E-01,9.76E-01,9.72E-01,9.67E-01,9.63E-01,9.58E-01,9.53E-01,9.49E-01,9.45E-01,9.40E-01,9.36E-01,9.32E-01,9.28E-01,9.24E-01,9.20E-01,9.16E-01,9.12E-01,9.08E-01,9.04E-01,9.01E-01,8.97E-01,8.93E-01,8.89E-01,8.85E-01,8.81E-01,8.77E-01,8.73E-01,8.69E-01,8.64E-01,8.60E-01,8.56E-01,8.51E-01,8.43E-01,8.34E-01,8.24E-01,8.15E-01,8.05E-01,7.95E-01,7.85E-01,7.75E-01,7.64E-01,7.53E-01,7.42E-01,7.31E-01
