neuron_id,neuron_name,archive,age_scale,gender,age_classification,domain,attributes,min_age,max_age,primary_brain_region,secondary_brain_region,tertiary_brain_region,primary_cell_class,secondary_cell_class,tertiary_cell_class,brain_region,cell_class,neuron_volume,neuron_area,soma_radius,soma_area,soma_volume,soma_va_ratio,neurite_length,avg_stem_length,max_euc_distance,max_path_distance,avg_euc_distance,avg_path_distance,max_contraction,avg_contraction,number_stems,neuron_va_ratio,neurite_volume,neurite_area,neurite_va_ratio,neurite_fraction_V,neurite_fraction_A,neurite_radius_V,neurite_radius_A,neurite_irregularity,soma_neurite_va_ratio,soma_fraction_V,soma_fraction_A,pk_classic_nmo,bif_ampl_local_nmo,fractal_dim_nmo,n_stems_nmo,n_bifs_nmo,n_branch_nmo,width_nmo,height_nmo,depth_nmo,diameter_nmo,euc_distance_nmo,path_distance_nmo,branch_order_nmo,contraction_nmo,fragmentation_nmo,partition_asymmetry_nmo,bif_ampl_remote_nmo,neurite_length_nmo,hemisphere,lobe,gyrus,brodmann_area,layer
1042,02a_pyramidal2aFI,allman,year,male,adult,"dendrites, soma, no axon","diameter, 3d, angles",23,23,neocortex,fronto-insula,layer 5,principal cell,pyramidal,not reported,"neocortex, fronto-insula, layer 5","principal cell, pyramidal",14998.578222,14529.799397,12.61,1998.2049807675407,8399.121602492902,4.203333333333334,3103.1686702351903,775.7921675587976,294.44628085800485,526.4103507349763,149.7511937831506,244.913649684502,0.8526326032068061,0.6114448662867922,4,1.032263268899417,6599.456619507098,12531.59441623246,0.5266254556530071,0.4400054806412902,0.862475391010552,0.8227662373761478,0.6427189135081818,0.1228585112304404,7.981637211443317,0.5599945193587098,0.1375246089894479,1.42,70.7,1.07,4.0,14.0,32.0,263.78,404.85,128.19,1.27,294.44,526.4,6.0,0.71,1511.0,0.45,55.9,3153.61,"left, right",limbic lobe,insula,"BA13, BA16",5
1043,02b_pyramidal1aACC,allman,year,male,adult,"dendrites, soma, no axon","diameter, 3d, angles",23,23,neocortex,anterior cingulate,layer 5,principal cell,pyramidal,not reported,"neocortex, anterior cingulate, layer 5","principal cell, pyramidal",5217.47474,4863.943886,9.904,1232.6254415279295,4069.307457630871,3.301333333333333,1159.576094878231,165.65372783974732,225.9389310066869,291.4703421663156,90.44894334262484,121.85395366093218,0.8931212943610551,0.7422733577796404,7,1.072683991075139,1148.1672823691288,3631.318444472072,0.3161846860654634,0.2200618765945628,0.7465790168599964,0.5614072547411358,0.4984082398138718,0.0594433797683963,10.441155055339458,0.7799381234054371,0.2534209831400036,1.41,80.57,1.06,7.0,9.0,25.0,84.03,363.08,23.46,1.58,225.94,291.47,4.0,0.78,608.0,0.44,55.22,1228.88,"left, right","frontal lobe, limbic lobe",anterior cingulate,"BA24, BA32",5
1044,02b_pyramidal1aFI,allman,year,male,adult,"dendrites, soma, no axon","diameter, 3d, angles",23,23,neocortex,fronto-insula,layer 5,principal cell,pyramidal,not reported,"neocortex, fronto-insula, layer 5","principal cell, pyramidal",11048.116875,7678.072226,13.01,2126.9851468234947,9224.025586724556,4.336666666666667,2055.913699545146,342.6522832575243,330.24956499256405,577.4566158253133,126.55333272342348,216.0206358493917,0.6659292521268957,0.5858390899823834,6,1.4389180708131566,1824.091288275444,5551.0870791765055,0.3286007339207593,0.1651042715164473,0.7229792734143662,0.5314298050630352,0.4297276429355744,0.1058121771196095,13.197373648326776,0.8348957284835526,0.2770207265856338,1.5,79.39,1.1,6.0,6.0,18.0,188.87,381.56,172.14,1.62,330.25,577.45,3.0,0.63,922.0,0.33,42.77,2133.96,"left, right",limbic lobe,insula,"BA13, BA16",5
1045,03a_pyramidal9aFI,allman,year,male,adult,"dendrites, soma, no axon","diameter, 3d, angles",23,23,neocortex,fronto-insula,layer 5,principal cell,pyramidal,not reported,"neocortex, fronto-insula, layer 5","principal cell, pyramidal",14643.088605,13258.945459,12.6,1995.0369987356617,8379.15539468978,4.199999999999998,2193.1335792482528,313.3047970354648,470.9681141483408,679.3332850825127,185.5256400141048,270.5998218468886,0.9496406473628372,0.6856088771524742,7,1.1043931548161292,6263.933210310221,11263.908460264338,0.5561065444030802,0.4277740427092239,0.8495327547047524,0.9534898638571192,0.8174179297369478,0.0768373907508829,7.552509572618393,0.5722259572907761,0.1504672452952475,1.36,94.64,1.06,7.0,7.0,21.0,187.44,532.3,157.36,2.15,472.88,679.33,5.0,0.73,813.0,0.71,56.49,2281.33,"left, right",limbic lobe,insula,"BA13, BA16",5
1078,03a_spindle2aFI,allman,year,male,adult,"dendrites, soma, no axon","diameter, 3d, angles",23,23,neocortex,fronto-insula,layer 5,principal cell,von economo neuron,not reported,"neocortex, fronto-insula, layer 5","principal cell, von economo neuron",11045.451075,9050.879492,11.226,1583.6526789775528,5926.028324734004,3.742000000000001,1271.3248235453093,635.6624117726548,250.9509535745979,342.7940932738068,117.16596189192524,157.57504154639895,0.9017870931105252,0.7435565984440815,2,1.2203732338678233,5119.422750265997,7467.226813022447,0.685585543128005,0.4634869789838797,0.8250277577579802,1.1321586712775242,0.9348091349043868,0.0954777988234274,5.458108090971423,0.5365130210161203,0.1749722422420197,1.90015,89.8825,1.03234,2.0,66.0,134.0,95.4313,387.162,134.29,1.7373,250.951,342.794,17.0,0.940096,508.0,0.759303,91.0753,1293.78,"left, right",limbic lobe,insula,"BA13, BA16",5
1079,03a_spindle6aFI,allman,year,male,adult,"dendrites, soma, no axon","diameter, 3d, angles",23,23,neocortex,fronto-insula,layer 5,principal cell,von economo neuron,not reported,"neocortex, fronto-insula, layer 5","principal cell, von economo neuron",18333.116178,8650.342834000001,15.31,2945.508263160394,15031.910502995212,5.1033333333333335,1275.0233779842447,425.0077926614149,325.8207944560936,420.6607427489601,165.47380263393666,232.99351469323744,0.780468412262965,0.7102077620134699,3,2.1193513979517724,3301.2056750047886,5704.834570839606,0.5786680812584781,0.1800678969659442,0.6594923091853501,0.9078252988149508,0.7121066461589807,0.1208190586420713,8.819102865039119,0.8199321030340558,0.3405076908146498,1.44,61.76,1.09,3.0,11.0,25.0,113.38,501.47,45.9,1.66,325.82,420.66,7.0,0.74,573.0,0.45,61.41,1320.95,"left, right",limbic lobe,insula,"BA13, BA16",5
1046,03b_pyramidal2aACC,allman,year,male,adult,"dendrites, soma, no axon","diameter, 3d, angles",23,23,neocortex,anterior cingulate,layer 5,principal cell,pyramidal,not reported,"neocortex, anterior cingulate, layer 5","principal cell, pyramidal",2936.674903,3866.259667,6.4151,517.1502337346586,1105.8568214770696,2.1383666666666667,712.7841613610742,178.19604034026855,144.07028458360173,156.13753996318889,56.03779484869752,71.3882792732288,0.9227139393740156,0.7849719228309255,4,0.7595648393887352,1830.8180815229305,3349.109433265341,0.5466581842140359,0.623432331461897,0.8662401705325865,0.9042086133705288,0.7478102771560607,0.0946710337946651,3.9117070381762016,0.3765676685381029,0.1337598294674134,1.92263,89.7024,1.0277,4.0,49.0,102.0,92.5041,189.291,43.94,1.48226,144.07,156.138,12.0,0.958568,252.0,0.736464,79.5616,738.445,"left, right","frontal lobe, limbic lobe",anterior cingulate,"BA24, BA32",5
1047,03b_pyramidal3aACC,allman,year,male,adult,"dendrites, soma, no axon","diameter, 3d, angles",23,23,neocortex,anterior cingulate,layer 5,principal cell,pyramidal,not reported,"neocortex, anterior cingulate, layer 5","principal cell, pyramidal",3838.79163,3695.090156,8.611,931.7878484890856,2674.541721113172,2.870333333333333,788.5854643864067,197.14636609660167,138.53946044358622,187.3806230743876,68.62249482623649,98.37988631357284,0.8163949578553227,0.6975256568960794,4,1.0388898424485422,1164.2499088868276,2763.3023075109145,0.4213255660527215,0.3032855182313784,0.7478308216712736,0.6855257713823356,0.5576988688725109,0.1028188296554528,6.812625590762657,0.6967144817686216,0.2521691783287265,1.64,93.53,1.05,4.0,10.0,24.0,107.57,188.45,43.23,1.14,138.53,187.38,5.0,0.83,318.0,0.7,88.72,823.02,"left, right","frontal lobe, limbic lobe",anterior cingulate,"BA24, BA32",5
1048,03b_pyramidal3aFI,allman,year,male,adult,"dendrites, soma, no axon","diameter, 3d, angles",23,23,neocortex,fronto-insula,layer 5,principal cell,pyramidal,not reported,"neocortex, fronto-insula, layer 5","principal cell, pyramidal",29308.547742,22257.513487,14.43,2616.631264537877,12585.996382427187,4.8100000000000005,3155.5579581770007,525.9263263628335,310.23726980776786,462.72458465874695,124.63436281499332,202.25134216922896,0.7418347954213902,0.6162350344785772,6,1.3167934396229084,16722.551359572815,19640.88222246212,0.8514154899034126,0.5705690881301809,0.8824382936545818,1.2987879548054158,0.9906151412273436,0.1346083676186582,5.6494156578542665,0.4294309118698191,0.1175617063454181,1.37,92.37,1.09,6.0,16.0,38.0,177.23,496.35,186.66,1.84,310.24,462.72,5.0,0.7,1265.0,0.41,54.92,3242.14,"left, right",limbic lobe,insula,"BA13, BA16",5
1049,03b_pyramidal4aFI,allman,year,male,adult,"dendrites, soma, no axon","diameter, 3d, angles",23,23,neocortex,fronto-insula,layer 5,principal cell,pyramidal,not reported,"neocortex, fronto-insula, layer 5","principal cell, pyramidal",21640.08556,13071.607827,15.46,3003.508346730969,15478.079680153596,5.153333333333333,2312.4798281216945,330.35426116024206,380.3871778128759,574.3573749113124,154.83041673175742,244.19020049703883,0.8618461125123774,0.6340566346094423,7,1.6555029684490243,6162.005879846403,10068.099480269031,0.6120326772617216,0.2847496079792026,0.7702265561756615,0.920973515458723,0.6929304983937066,0.141298996165622,8.4200297219255,0.7152503920207974,0.2297734438243386,0.94,69.67,1.06,7.0,4.0,15.0,205.77,414.7,159.1,1.33,380.39,574.36,3.0,0.73,970.0,0.5,66.93,2420.69,"left, right",limbic lobe,insula,"BA13, BA16",5
