neuron_name,neuron_id,neurite_surface_nmo,neurite_volume_nmo,pk_classic_nmo,bif_ampl_local_nmo,fractal_dim_nmo,soma_surface_nmo,n_stems_nmo,n_bifs_nmo,n_branch_nmo,width_nmo,height_nmo,depth_nmo,diameter_nmo,euc_distance_nmo,path_distance_nmo,branch_order_nmo,contraction_nmo,fragmentation_nmo,partition_asymmetry_nmo,bif_ampl_remote_nmo,neurite_length_nmo
541549258_transformed,162119,10523.4,759.201,1.98509,86.0245,1.03059,565.249,8.0,62.0,132.0,417.631,1098.17,273.66,0.263686,664.826,838.077,10.0,0.874253,9081.0,0.493632,64.8122,12801.4
541557114_transformed,162173,27711.3,5050.21,1.92175,83.0218,1.04015,590.931,7.0,80.0,167.0,444.196,637.078,286.22,0.569071,521.881,602.951,11.0,0.85287,11373.0,0.510007,67.2333,15491.5
569835804_transformed,162176,4923.5,321.573,2.0,75.0773,1.02926,327.03,7.0,37.0,81.0,347.062,306.503,234.16,0.229742,327.945,393.226,7.0,0.889711,4541.0,0.482282,61.4373,6684.09
569860121_transformed,162151,10090.8,972.471,2.15004,68.2656,1.04588,442.779,7.0,47.0,101.0,332.032,482.648,251.96,0.328413,427.965,579.34,8.0,0.82272,6676.0,0.371832,49.907,9886.59
571732727_transformed,162120,33270.7,6672.68,1.87961,72.5045,1.02934,687.91,6.0,62.0,130.0,414.67,1088.31,310.92,0.671068,934.901,1129.96,13.0,0.878034,10492.0,0.382282,51.7815,15621.7
576110753_transformed,162165,15762.1,2632.03,1.83529,75.5924,1.02149,507.783,7.0,40.0,87.0,341.532,563.343,258.8,0.589758,548.849,680.029,15.0,0.915224,6245.0,0.477655,57.1656,8482.72
576118161_transformed,162117,17906.3,3160.73,1.74975,89.2309,1.06376,262.94,8.0,38.0,84.0,344.051,411.453,316.55,0.604327,422.362,659.719,14.0,0.786101,5544.0,0.633673,67.8643,9341.61
685814252_transformed,162180,10429.2,1095.55,1.97557,80.4655,1.03448,262.082,6.0,64.0,134.0,353.14,1002.78,207.7,0.306602,881.022,999.374,13.0,0.859062,8215.0,0.510236,86.6791,10819.4
685815936_transformed,162204,34660.9,6219.3,1.89645,72.5792,1.02036,1566.31,9.0,93.0,195.0,463.41,1556.31,252.91,0.563057,1112.76,1202.52,12.0,0.914518,14467.0,0.533518,61.0399,19179.3
689300528_transformed,162174,13436.1,1501.78,1.91599,81.206,1.0326,226.202,4.0,89.0,182.0,838.032,1458.69,301.62,0.330216,1498.66,1859.25,18.0,0.869366,9139.0,0.612097,84.9285,12856.0
