neuron_id,neuron_name,archive,note,age_scale,gender,age_classification,species,strain,scientific_name,stain,experiment_condition,protocol,slicing_direction,reconstruction_software,objective_type,original_format,domain,attributes,magnification,shrinkage_reported,shrinkage_corrected,slicing_thickness,min_age,max_age,min_weight,max_weight,reference_doi,primary_brain_region,secondary_brain_region,tertiary_brain_region,primary_cell_class,secondary_cell_class,tertiary_cell_class,physical_integrity
162119,541549258_transformed,allen,"this reconstruction is transcriptomically related to l2-3 linc00507 frem3. human frem3 t-type shows significantly more within-type heterogeneity. frem3 neurons spanned l2 and l3, continuing into l4, consistent with their heterogeneous gene expression profile. frem3 neurons varied from small neurons in upper l2 to very large neurons in the deeper part of l3 and had a gradient of morphoelectric properties. apical dendrites of frem3 neurons branched much closer to the soma, resulting in more radial branching across layers. l2 frem3 neurons had an apical dendrite restricted to l1 and l2 and regular firing while the large, deep l3 frem3 neurons had an apical dendrite that spanned l1-3 and a heavily adapting firing rate.",year,female,adult,human,not applicable,,biocytin,epilepsy,in vitro,not reported,vaa3d,oil,vaa3d.swc,"dendrites, soma, axon","diameter, 3d, angles",63,not reported,,350,28,28,not reported,not reported,10.1101/2020.03.31.018820,neocortex,temporal,"middle temporal gyrus, left, layer 2-3",principal cell,pyramidal,"excitatory, intratelencephalic (it)",dendrites & axon complete
162173,541557114_transformed,allen,"this reconstruction is transcriptomically related to l2 lamp5 ltk. human ltk neurons were found primarily in l2 and in the border region of l2 and l3. morphologically, they were relatively short, but extended multiple apical branches into l1. apical dendrites of ltk neurons branched much closer to the soma, resulting in more radial branching across layers. ltk neurons have regular firing pattern with little firing rate adaptation and no sag.",year,female,adult,human,not applicable,,biocytin,epilepsy,in vitro,not reported,vaa3d,oil,vaa3d.swc,"dendrites, soma, axon","diameter, 3d, angles",63,not reported,,350,28,28,not reported,not reported,10.1101/2020.03.31.018820,neocortex,temporal,"middle temporal gyrus, left, layer 2",principal cell,pyramidal,"excitatory, intratelencephalic (it)","dendrites complete, axon moderate"
162176,569835804_transformed,allen,"this reconstruction is transcriptomically related to l2 lamp5 ltk. human ltk neurons were found primarily in l2 and in the border region of l2 and l3. morphologically, they were relatively short, but extended multiple apical branches into l1. apical dendrites of ltk neurons branched much closer to the soma, resulting in more radial branching across layers. ltk neurons have regular firing pattern with little firing rate adaptation and no sag.",year,male,adult,human,not applicable,,biocytin,epilepsy,in vitro,not reported,vaa3d,oil,vaa3d.swc,"dendrites, soma, axon","diameter, 3d, angles",63,not reported,,350,61,61,not reported,not reported,10.1101/2020.03.31.018820,neocortex,temporal,"middle temporal gyrus, right, layer 2",principal cell,pyramidal,"excitatory, intratelencephalic (it)","dendrites complete, axon incomplete"
162151,569860121_transformed,allen,"this reconstruction is transcriptomically related to l2 lamp5 ltk. human ltk neurons were found primarily in l2 and in the border region of l2 and l3. morphologically, they were relatively short, but extended multiple apical branches into l1. apical dendrites of ltk neurons branched much closer to the soma, resulting in more radial branching across layers. ltk neurons have regular firing pattern with little firing rate adaptation and no sag.",year,male,adult,human,not applicable,,biocytin,epilepsy,in vitro,not reported,vaa3d,oil,vaa3d.swc,"dendrites, soma, axon","diameter, 3d, angles",63,not reported,,350,61,61,not reported,not reported,10.1101/2020.03.31.018820,neocortex,temporal,"middle temporal gyrus, right, layer 2",principal cell,pyramidal,"excitatory, intratelencephalic (it)","dendrites complete, axon incomplete"
162120,571732727_transformed,allen,"this reconstruction is transcriptomically related to l2-3 linc00507 frem3. human frem3 t-type shows significantly more within-type heterogeneity. frem3 neurons spanned l2 and l3, continuing into l4, consistent with their heterogeneous gene expression profile. frem3 neurons varied from small neurons in upper l2 to very large neurons in the deeper part of l3 and had a gradient of morphoelectric properties. apical dendrites of frem3 neurons branched much closer to the soma, resulting in more radial branching across layers. l2 frem3 neurons had an apical dendrite restricted to l1 and l2 and regular firing while the large, deep l3 frem3 neurons had an apical dendrite that spanned l1-3 and a heavily adapting firing rate.",year,male,adult,human,not applicable,,biocytin,epilepsy,in vitro,not reported,vaa3d,oil,vaa3d.swc,"dendrites, soma, axon","diameter, 3d, angles",63,not reported,,350,35,35,not reported,not reported,10.1101/2020.03.31.018820,neocortex,temporal,"middle temporal gyrus, left, layer 2-3",principal cell,pyramidal,"excitatory, intratelencephalic (it)","dendrites complete, axon incomplete"
162165,576110753_transformed,allen,"this reconstruction is transcriptomically related to l2-3 linc00507 frem3. human frem3 t-type shows significantly more within-type heterogeneity. frem3 neurons spanned l2 and l3, continuing into l4, consistent with their heterogeneous gene expression profile. frem3 neurons varied from small neurons in upper l2 to very large neurons in the deeper part of l3 and had a gradient of morphoelectric properties. apical dendrites of frem3 neurons branched much closer to the soma, resulting in more radial branching across layers. l2 frem3 neurons had an apical dendrite restricted to l1 and l2 and regular firing while the large, deep l3 frem3 neurons had an apical dendrite that spanned l1-3 and a heavily adapting firing rate.",year,female,adult,human,not applicable,,biocytin,tumor,in vitro,not reported,vaa3d,oil,vaa3d.swc,"dendrites, soma, axon","diameter, 3d, angles",63,not reported,,350,42,42,not reported,not reported,10.1101/2020.03.31.018820,neocortex,frontal,"medial frontal gyrus, right, layer 2-3",principal cell,pyramidal,"excitatory, intratelencephalic (it)","dendrites complete, axon incomplete"
162117,576118161_transformed,allen,"this reconstruction is transcriptomically related to l2-3 linc00507 frem3. human frem3 t-type shows significantly more within-type heterogeneity. frem3 neurons spanned l2 and l3, continuing into l4, consistent with their heterogeneous gene expression profile. frem3 neurons varied from small neurons in upper l2 to very large neurons in the deeper part of l3 and had a gradient of morphoelectric properties. apical dendrites of frem3 neurons branched much closer to the soma, resulting in more radial branching across layers. l2 frem3 neurons had an apical dendrite restricted to l1 and l2 and regular firing while the large, deep l3 frem3 neurons had an apical dendrite that spanned l1-3 and a heavily adapting firing rate.",year,female,adult,human,not applicable,,biocytin,tumor,in vitro,not reported,vaa3d,oil,vaa3d.swc,"dendrites, soma, axon","diameter, 3d, angles",63,not reported,,350,42,42,not reported,not reported,10.1101/2020.03.31.018820,neocortex,frontal,"medial frontal gyrus, right, layer 2-3",principal cell,pyramidal,"excitatory, intratelencephalic (it)","dendrites complete, axon incomplete"
162180,685814252_transformed,allen,"this reconstruction is transcriptomically related to l2 lamp5 ltk. human ltk neurons were found primarily in l2 and in the border region of l2 and l3. morphologically, they were relatively short, but extended multiple apical branches into l1. apical dendrites of ltk neurons branched much closer to the soma, resulting in more radial branching across layers. ltk neurons have regular firing pattern with little firing rate adaptation and no sag.",year,female,adult,human,not applicable,,biocytin,epilepsy,in vitro,not reported,vaa3d,oil,vaa3d.swc,"dendrites, soma, axon","diameter, 3d, angles",63,not reported,,350,19,19,not reported,not reported,10.1101/2020.03.31.018820,neocortex,temporal,"middle temporal gyrus, left, layer 2",principal cell,pyramidal,"excitatory, intratelencephalic (it)",dendrites & axon complete
162204,685815936_transformed,allen,"this reconstruction is transcriptomically related to l2-3 linc00507 frem3. human frem3 t-type shows significantly more within-type heterogeneity. frem3 neurons spanned l2 and l3, continuing into l4, consistent with their heterogeneous gene expression profile. frem3 neurons varied from small neurons in upper l2 to very large neurons in the deeper part of l3 and had a gradient of morphoelectric properties. apical dendrites of frem3 neurons branched much closer to the soma, resulting in more radial branching across layers. l2 frem3 neurons had an apical dendrite restricted to l1 and l2 and regular firing while the large, deep l3 frem3 neurons had an apical dendrite that spanned l1-3 and a heavily adapting firing rate.",year,female,adult,human,not applicable,,biocytin,epilepsy,in vitro,not reported,vaa3d,oil,vaa3d.swc,"dendrites, soma, axon","diameter, 3d, angles",63,not reported,,350,19,19,not reported,not reported,10.1101/2020.03.31.018820,neocortex,temporal,"middle temporal gyrus, left, layer 2-3",principal cell,pyramidal,"excitatory, intratelencephalic (it)",dendrites & axon complete
162174,689300528_transformed,allen,"this reconstruction is transcriptomically related to l2-3 linc00507 frem3. human frem3 t-type shows significantly more within-type heterogeneity. frem3 neurons spanned l2 and l3, continuing into l4, consistent with their heterogeneous gene expression profile. frem3 neurons varied from small neurons in upper l2 to very large neurons in the deeper part of l3 and had a gradient of morphoelectric properties. apical dendrites of frem3 neurons branched much closer to the soma, resulting in more radial branching across layers. l2 frem3 neurons had an apical dendrite restricted to l1 and l2 and regular firing while the large, deep l3 frem3 neurons had an apical dendrite that spanned l1-3 and a heavily adapting firing rate.",year,male,adult,human,not applicable,,biocytin,epilepsy,in vitro,not reported,vaa3d,oil,vaa3d.swc,"dendrites, soma, axon","diameter, 3d, angles",63,not reported,,350,19,19,not reported,not reported,10.1101/2020.03.31.018820,neocortex,temporal,"middle temporal gyrus, right, layer 2-3",principal cell,pyramidal,"excitatory, intratelencephalic (it)",dendrites & axon complete
