neuron_id,neuron_name,archive,note,age_scale,gender,age_classification,species,strain,scientific_name,stain,experiment_condition,protocol,slicing_direction,reconstruction_software,objective_type,original_format,domain,attributes,magnification,shrinkage_reported,shrinkage_corrected,slicing_thickness,min_age,max_age,min_weight,max_weight,reference_doi,primary_brain_region,secondary_brain_region,tertiary_brain_region,primary_cell_class,secondary_cell_class,tertiary_cell_class,physical_integrity
147069,1-Human-hcca1-idab1-porta-4-cel16soma-z-corr-1-7,defelipe,,year,male,adult,human,not applicable,,lucifer yellow,control,in vitro,coronal,neurolucida,glycerin,neurolucida.asc,"dendrites, soma, axon","diameter, 3d, angles",63,not reported,,300,45,45,not reported,not reported,10.1093/cercor/bhz122,hippocampus,ca1,pyramidal layer,principal cell,pyramidal,not reported,"dendrites moderate, axon incomplete"
147090,10-Human-hcca1-idab1-porta5-sec1-cel7-soma-z-corr-1-7,defelipe,,year,male,adult,human,not applicable,,lucifer yellow,control,in vitro,coronal,neurolucida,glycerin,neurolucida.asc,"dendrites, soma, axon","diameter, 3d, angles",63,not reported,,300,45,45,not reported,not reported,10.1093/cercor/bhz122,hippocampus,ca1,pyramidal layer,principal cell,pyramidal,not reported,"dendrites moderate, axon incomplete"
147145,11-human-hcca1-idab-1-porta5-sec1-cel8-soma-z-corr-1-7,defelipe,,year,male,adult,human,not applicable,,lucifer yellow,control,in vitro,coronal,neurolucida,glycerin,neurolucida.asc,"dendrites, soma, no axon","diameter, 3d, angles",63,not reported,,300,45,45,not reported,not reported,10.1093/cercor/bhz122,hippocampus,ca1,pyramidal layer,principal cell,pyramidal,not reported,dendrites moderate
147060,12-human-hcca1-idab1-porta5-sec1-cel9-soma-corr1-7z,defelipe,,year,male,adult,human,not applicable,,lucifer yellow,control,in vitro,coronal,neurolucida,glycerin,neurolucida.asc,"dendrites, soma, axon","diameter, 3d, angles",63,not reported,,300,45,45,not reported,not reported,10.1093/cercor/bhz122,hippocampus,ca1,pyramidal layer,principal cell,pyramidal,not reported,"dendrites moderate, axon incomplete"
147114,14-human-hcca1-idab1-porta6-sec1-cel5-soma-corr1-7z,defelipe,,year,male,adult,human,not applicable,,lucifer yellow,control,in vitro,coronal,neurolucida,glycerin,neurolucida.asc,"dendrites, soma, no axon","diameter, 3d, angles",63,not reported,,300,45,45,not reported,not reported,10.1093/cercor/bhz122,hippocampus,ca1,pyramidal layer,principal cell,pyramidal,not reported,dendrites moderate
147144,15-human-hcca1-idab1-porta6-sec1-cel7-soma-corr1-7z,defelipe,,year,male,adult,human,not applicable,,lucifer yellow,control,in vitro,coronal,neurolucida,glycerin,neurolucida.asc,"dendrites, soma, no axon","diameter, 3d, angles",63,not reported,,300,45,45,not reported,not reported,10.1093/cercor/bhz122,hippocampus,ca1,pyramidal layer,principal cell,pyramidal,not reported,dendrites moderate
147131,16-human-hcca1-idab1-porta6-sec1-cel8-soma-z-corr-1-7,defelipe,,year,male,adult,human,not applicable,,lucifer yellow,control,in vitro,coronal,neurolucida,glycerin,neurolucida.asc,"dendrites, soma, axon","diameter, 3d, angles",63,not reported,,300,45,45,not reported,not reported,10.1093/cercor/bhz122,hippocampus,ca1,pyramidal layer,principal cell,pyramidal,not reported,"dendrites moderate, axon incomplete"
147142,17-human-hcca1-idab1-porta6-sec1-cel9-soma-z-corr-1-7,defelipe,,year,male,adult,human,not applicable,,lucifer yellow,control,in vitro,coronal,neurolucida,glycerin,neurolucida.asc,"dendrites, soma, no axon","diameter, 3d, angles",63,not reported,,300,45,45,not reported,not reported,10.1093/cercor/bhz122,hippocampus,ca1,pyramidal layer,principal cell,pyramidal,not reported,dendrites moderate
72460,h173-cel-4-11,defelipe,lucifer yellow was intracellularly injected.,year,male/female,adult,human,not applicable,,lucifer yellow,control,in vitro,coronal,neurolucida,not reported,neurolucida.dat,"dendrites, soma, no axon","no diameter, 3d, angles",100,not reported,,250,24,48,not reported,not reported,10.1093/cercor/bhi036,neocortex,temporal,"brodmann area 20, layer 3a",principal cell,pyramidal,not reported,dendrites moderate
72472,h173-cel-5,defelipe,lucifer yellow was intracellularly injected.,year,male/female,adult,human,not applicable,,lucifer yellow,control,in vitro,coronal,neurolucida,not reported,neurolucida.dat,"dendrites, soma, no axon","no diameter, 3d, angles",100,not reported,,250,24,48,not reported,not reported,10.1093/cercor/bhi036,neocortex,temporal,"brodmann area 20, layer 6",principal cell,pyramidal,not reported,dendrites moderate
72461,h173-cel-6,defelipe,lucifer yellow was intracellularly injected.,year,male/female,adult,human,not applicable,,lucifer yellow,control,in vitro,coronal,neurolucida,not reported,neurolucida.dat,"dendrites, soma, no axon","no diameter, 3d, angles",100,not reported,,250,24,48,not reported,not reported,10.1093/cercor/bhi036,neocortex,temporal,"brodmann area 20, layer 3a",principal cell,pyramidal,not reported,dendrites moderate
72462,h173-cel-7,defelipe,lucifer yellow was intracellularly injected.,year,male/female,adult,human,not applicable,,lucifer yellow,control,in vitro,coronal,neurolucida,not reported,neurolucida.dat,"dendrites, soma, no axon","no diameter, 3d, angles",100,not reported,,250,24,48,not reported,not reported,10.1093/cercor/bhi036,neocortex,temporal,"brodmann area 20, layer 3a",principal cell,pyramidal,not reported,dendrites moderate
72463,h173-cel-8,defelipe,lucifer yellow was intracellularly injected.,year,male/female,adult,human,not applicable,,lucifer yellow,control,in vitro,coronal,neurolucida,not reported,neurolucida.dat,"dendrites, soma, no axon","no diameter, 3d, angles",100,not reported,,250,24,48,not reported,not reported,10.1093/cercor/bhi036,neocortex,temporal,"brodmann area 20, layer 3a",principal cell,pyramidal,not reported,dendrites moderate
72464,h173-cel-9,defelipe,lucifer yellow was intracellularly injected.,year,male/female,adult,human,not applicable,,lucifer yellow,control,in vitro,coronal,neurolucida,not reported,neurolucida.dat,"dendrites, soma, no axon","no diameter, 3d, angles",100,not reported,,250,24,48,not reported,not reported,10.1093/cercor/bhi036,neocortex,temporal,"brodmann area 20, layer 3a",principal cell,pyramidal,not reported,dendrites moderate
72407,h184a-cel-10,defelipe,lucifer yellow was intracellularly injected.,year,male/female,adult,human,not applicable,,lucifer yellow,control,in vitro,coronal,neurolucida,not reported,neurolucida.dat,"dendrites, soma, no axon","no diameter, 3d, angles",100,not reported,,250,24,48,not reported,not reported,10.1093/cercor/bhi036,neocortex,temporal,brodmann area 20,principal cell,pyramidal,not reported,dendrites moderate
