neuron_name,neuron_id,neurite_surface_nmo,neurite_volume_nmo,pk_classic_nmo,bif_ampl_local_nmo,fractal_dim_nmo,soma_surface_nmo,n_stems_nmo,n_bifs_nmo,n_branch_nmo,width_nmo,height_nmo,depth_nmo,diameter_nmo,euc_distance_nmo,path_distance_nmo,branch_order_nmo,contraction_nmo,fragmentation_nmo,partition_asymmetry_nmo,bif_ampl_remote_nmo,neurite_length_nmo
Blue10_9-17-12_sec1_Neuron4,99956,7452.12,3593.31,1.66335,57.7959,1.01956,553.989,5.0,19.0,43.0,146.751,173.499,65.13,1.77598,175.567,200.638,4.0,0.94569,219.0,0.34386,50.21,1307.07
Blue11_9-17-12_sec3_Neuron2,99957,12104.5,5132.51,1.64238,70.933,1.03107,705.787,5.0,31.0,67.0,185.709,221.361,91.35,1.58769,243.034,268.016,12.0,0.926538,540.0,0.614132,64.7845,2373.39
Blue11_9-17-12_sec4_Neuron3,99958,11811.7,5527.98,1.65588,58.4152,1.022,974.563,5.0,33.0,71.0,185.449,395.952,71.04,1.6891,345.843,394.779,5.0,0.930233,388.0,0.400498,50.7435,2125.48
Blue12_9-17-12_sec1_Neuron5,99959,13624.7,6202.89,1.56186,55.5241,1.02636,780.28,5.0,33.0,71.0,135.031,518.419,90.27,1.68694,421.986,449.013,8.0,0.910374,467.0,0.475108,46.5271,2502.67
Blue12_9-17-12_sec1_Neuron6,99960,18047.6,8848.4,1.57517,63.7212,1.0178,1356.04,6.0,36.0,78.0,247.18,332.266,78.62,1.78903,213.779,260.05,10.0,0.943865,556.0,0.52381,48.5668,3117.83
Blue12_9-17-12_sec2_Neuron7,99961,7589.52,3564.15,1.50588,60.6789,1.02464,666.084,5.0,26.0,57.0,122.95,235.32,48.02,1.66092,166.218,173.058,6.0,0.935456,295.0,0.433333,58.3632,1374.62
Blue5-coded11-6_sec3_Neuron2,99903,12112.7,5330.48,1.54864,58.8987,1.02241,1069.54,6.0,26.0,58.0,186.331,256.56,60.8,1.65234,171.767,192.183,6.0,0.936907,381.0,0.511355,47.6707,2288.63
Blue5-coded11-6_sec4_Neuron3,99904,14684.2,6517.9,1.67262,58.8987,1.02082,961.047,4.0,35.0,74.0,205.793,379.394,77.84,1.65845,271.565,296.033,11.0,0.937807,485.0,0.50478,53.7555,2737.73
Blue6-coded11-6_sec4_Neuron4,99905,12483.5,5721.61,1.67224,55.392,1.02678,742.199,5.0,30.0,65.0,180.957,197.622,117.42,1.73425,145.132,205.745,9.0,0.921957,388.0,0.438333,54.646,2241.48
Blue6_sec2_Neuron1,99877,13087.2,6607.46,1.53697,60.733,1.02744,2132.27,5.0,32.0,69.0,171.82,239.189,82.08,1.71726,197.803,220.465,6.0,0.931512,412.0,0.394196,61.366,2298.55
Blue9_9-17-12_sec3_Neuron10,99962,11863.7,6139.29,1.60272,66.807,1.02425,731.611,5.0,34.0,73.0,146.771,208.09,74.03,1.91834,158.076,168.298,8.0,0.9293,403.0,0.336649,53.619,1913.11
Blue9_9-17-12_sec3_Neuron9,99963,17864.9,9404.99,1.60275,55.889,1.02161,948.217,5.0,38.0,81.0,139.516,425.739,89.68,1.93445,313.595,322.145,8.0,0.941999,508.0,0.402316,47.6788,2824.49
Green13_December2013_sec1_Neuron2,99939,18369.4,8615.14,1.56615,61.5379,1.02085,1866.93,3.0,29.0,61.0,172.099,487.551,96.8,1.75683,341.23,366.343,5.0,0.931358,524.0,0.306583,46.6874,3255.85
