neuron_id,neuron_name,archive,note,age_scale,gender,age_classification,species,strain,scientific_name,stain,experiment_condition,protocol,slicing_direction,reconstruction_software,objective_type,original_format,domain,attributes,magnification,shrinkage_reported,shrinkage_corrected,slicing_thickness,min_age,max_age,min_weight,max_weight,reference_doi,primary_brain_region,secondary_brain_region,tertiary_brain_region,primary_cell_class,secondary_cell_class,tertiary_cell_class,physical_integrity
99956,Blue10_9-17-12_sec1_Neuron4,hrvoj-mihic_semendeferi,,year,male,adult,human,not applicable,,golgi-scheibel,williams syndrome,in vitro,not reported,neurolucida,dry,neurolucida.dat,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,120,31,31,not reported,not reported,10.3389/fnins.2017.00419,neocortex,occipital,"brodmann area 18, layer 2-3, left",principal cell,pyramidal,not reported,dendrites moderate
99957,Blue11_9-17-12_sec3_Neuron2,hrvoj-mihic_semendeferi,,year,male,adult,human,not applicable,,golgi-scheibel,williams syndrome,in vitro,not reported,neurolucida,dry,neurolucida.dat,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,120,31,31,not reported,not reported,10.3389/fnins.2017.00419,neocortex,occipital,"brodmann area 18, layer 2-3, left",principal cell,pyramidal,not reported,dendrites moderate
99958,Blue11_9-17-12_sec4_Neuron3,hrvoj-mihic_semendeferi,,year,male,adult,human,not applicable,,golgi-scheibel,williams syndrome,in vitro,not reported,neurolucida,dry,neurolucida.dat,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,120,31,31,not reported,not reported,10.3389/fnins.2017.00419,neocortex,occipital,"brodmann area 18, layer 2-3, left",principal cell,pyramidal,not reported,dendrites moderate
99959,Blue12_9-17-12_sec1_Neuron5,hrvoj-mihic_semendeferi,,year,male,adult,human,not applicable,,golgi-scheibel,williams syndrome,in vitro,not reported,neurolucida,dry,neurolucida.dat,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,120,31,31,not reported,not reported,10.3389/fnins.2017.00419,neocortex,occipital,"brodmann area 18, layer 2-3, left",principal cell,pyramidal,not reported,dendrites moderate
99960,Blue12_9-17-12_sec1_Neuron6,hrvoj-mihic_semendeferi,,year,male,adult,human,not applicable,,golgi-scheibel,williams syndrome,in vitro,not reported,neurolucida,dry,neurolucida.dat,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,120,31,31,not reported,not reported,10.3389/fnins.2017.00419,neocortex,occipital,"brodmann area 18, layer 2-3, left",principal cell,pyramidal,not reported,dendrites moderate
99961,Blue12_9-17-12_sec2_Neuron7,hrvoj-mihic_semendeferi,,year,male,adult,human,not applicable,,golgi-scheibel,williams syndrome,in vitro,not reported,neurolucida,dry,neurolucida.dat,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,120,31,31,not reported,not reported,10.3389/fnins.2017.00419,neocortex,occipital,"brodmann area 18, layer 2-3, left",principal cell,pyramidal,not reported,dendrites moderate
99903,Blue5-coded11-6_sec3_Neuron2,hrvoj-mihic_semendeferi,,year,male,adult,human,not applicable,,golgi-scheibel,williams syndrome,in vitro,not reported,neurolucida,dry,neurolucida.dat,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,120,47,47,not reported,not reported,10.3389/fnins.2017.00419,neocortex,somatosensory,"brodmann area 3, layer 2-3, left",principal cell,pyramidal,not reported,dendrites moderate
99904,Blue5-coded11-6_sec4_Neuron3,hrvoj-mihic_semendeferi,,year,male,adult,human,not applicable,,golgi-scheibel,williams syndrome,in vitro,not reported,neurolucida,dry,neurolucida.dat,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,120,47,47,not reported,not reported,10.3389/fnins.2017.00419,neocortex,somatosensory,"brodmann area 3, layer 2-3, left",principal cell,pyramidal,not reported,dendrites moderate
99905,Blue6-coded11-6_sec4_Neuron4,hrvoj-mihic_semendeferi,,year,male,adult,human,not applicable,,golgi-scheibel,williams syndrome,in vitro,not reported,neurolucida,dry,neurolucida.dat,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,120,47,47,not reported,not reported,10.3389/fnins.2017.00419,neocortex,somatosensory,"brodmann area 3, layer 2-3, left",principal cell,pyramidal,not reported,dendrites moderate
99877,Blue6_sec2_Neuron1,hrvoj-mihic_semendeferi,,year,male,adult,human,not applicable,,golgi-scheibel,williams syndrome,in vitro,not reported,neurolucida,dry,neurolucida.dat,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,120,47,47,not reported,not reported,10.3389/fnins.2017.00419,neocortex,prefrontal,"brodmann area 11, layer 2-3, left",principal cell,pyramidal,not reported,dendrites moderate
99962,Blue9_9-17-12_sec3_Neuron10,hrvoj-mihic_semendeferi,,year,male,adult,human,not applicable,,golgi-scheibel,williams syndrome,in vitro,not reported,neurolucida,dry,neurolucida.dat,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,120,31,31,not reported,not reported,10.3389/fnins.2017.00419,neocortex,occipital,"brodmann area 18, layer 2-3, left",principal cell,pyramidal,not reported,dendrites moderate
99963,Blue9_9-17-12_sec3_Neuron9,hrvoj-mihic_semendeferi,,year,male,adult,human,not applicable,,golgi-scheibel,williams syndrome,in vitro,not reported,neurolucida,dry,neurolucida.dat,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,120,31,31,not reported,not reported,10.3389/fnins.2017.00419,neocortex,occipital,"brodmann area 18, layer 2-3, left",principal cell,pyramidal,not reported,dendrites moderate
99939,Green13_December2013_sec1_Neuron2,hrvoj-mihic_semendeferi,,year,male,adult,human,not applicable,,golgi-scheibel,williams syndrome,in vitro,not reported,neurolucida,dry,neurolucida.dat,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,120,31,31,not reported,not reported,10.3389/fnins.2017.00419,neocortex,prefrontal,"brodmann area 10, layer 2-3, left",principal cell,pyramidal,not reported,dendrites moderate
99940,Green14_December2013_sec2_Neuron4,hrvoj-mihic_semendeferi,,year,male,adult,human,not applicable,,golgi-scheibel,williams syndrome,in vitro,not reported,neurolucida,dry,neurolucida.dat,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,120,31,31,not reported,not reported,10.3389/fnins.2017.00419,neocortex,prefrontal,"brodmann area 10, layer 2-3, left",principal cell,pyramidal,not reported,dendrites moderate
99920,Green3-8-30-12_sec1_Neuron4,hrvoj-mihic_semendeferi,,year,male,adult,human,not applicable,,golgi-scheibel,williams syndrome,in vitro,not reported,neurolucida,dry,neurolucida.dat,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,120,31,31,not reported,not reported,10.3389/fnins.2017.00419,neocortex,somatosensory,"brodmann area 3, layer 5-6, left",principal cell,pyramidal,not reported,dendrites moderate
99921,Green3-8-30-12_sec3_Neuron6,hrvoj-mihic_semendeferi,,year,male,adult,human,not applicable,,golgi-scheibel,williams syndrome,in vitro,not reported,neurolucida,dry,neurolucida.dat,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,120,31,31,not reported,not reported,10.3389/fnins.2017.00419,neocortex,somatosensory,"brodmann area 3, layer 5-6, left",principal cell,pyramidal,not reported,dendrites moderate
