neuron_name,neuron_id,neurite_surface_nmo,neurite_volume_nmo,pk_classic_nmo,bif_ampl_local_nmo,fractal_dim_nmo,soma_surface_nmo,n_stems_nmo,n_bifs_nmo,n_branch_nmo,width_nmo,height_nmo,depth_nmo,diameter_nmo,euc_distance_nmo,path_distance_nmo,branch_order_nmo,contraction_nmo,fragmentation_nmo,partition_asymmetry_nmo,bif_ampl_remote_nmo,neurite_length_nmo
Pyramid-IIIC-2-5M-6,6198,14280.2,6371.02,1.4,75.04,1.03,887.55,6.0,28.0,62.0,248.94,479.86,73.17,1.38,347.0,438.69,11.0,0.86,985.0,0.43,62.02,3448.55
Pyramid-IIIC-2-5M-10,6193,18344.0,8965.85,1.44,60.31,1.03,862.01,8.0,31.0,70.0,313.08,454.01,84.72,1.36,361.93,409.39,7.0,0.88,1048.0,0.31,46.45,4257.41
Pyramid-IIIC-2-5M-1,6192,17178.4,8048.72,1.54,69.09,1.04,1017.83,6.0,26.0,58.0,229.65,401.44,76.79,1.26,307.13,372.92,8.0,0.85,1004.0,0.34,50.58,4166.34
Pyramid-IIIC-2-5M-2,6194,15435.5,9077.18,1.32,72.36,1.03,1194.38,7.0,26.0,59.0,250.2,358.11,65.41,1.61,260.89,298.36,6.0,0.86,777.0,0.32,57.63,3081.81
Pyramid-IIIC-2-5M-3,6195,12606.7,6843.08,1.53,69.47,1.04,975.04,7.0,20.0,47.0,190.2,247.49,47.82,1.58,173.26,270.72,5.0,0.86,647.0,0.54,56.3,2501.61
Pyramid-IIIC-2-5M-4,6196,18053.0,8943.37,1.44,78.83,1.04,930.11,8.0,23.0,54.0,215.33,446.86,83.45,1.52,352.74,416.72,8.0,0.87,987.0,0.37,54.65,3713.42
Pyramid-IIIC-2-5M-5,6197,18723.09,7774.02,1.46,70.47,1.05,1156.91,8.0,35.0,78.0,279.33,332.58,62.07,1.27,233.7,309.79,8.0,0.84,1297.0,0.44,55.11,4779.55
Pyramid-IIIC-2-5M-7,6199,18187.9,9824.96,1.42,72.66,1.03,1138.53,9.0,28.0,65.0,294.16,378.43,55.25,1.56,326.72,415.14,8.0,0.86,952.0,0.33,57.31,3721.6
Pyramid-IIIC-2-5M-8,6200,15126.3,7805.21,1.4,72.16,1.04,912.52,7.0,30.0,67.0,186.82,326.41,76.01,1.54,269.14,353.65,9.0,0.87,784.0,0.42,56.91,3209.25
Pyramid-IIIC-2-5M-9,6201,16694.2,7727.05,1.38,75.16,1.02,1068.75,7.0,25.0,57.0,249.05,338.87,79.19,1.35,288.3,322.74,8.0,0.89,877.0,0.48,50.38,3902.45
Pyramid-IIIC-DS-2-5M-1,6202,30218.5,15288.1,1.55,76.89,1.05,1782.52,6.0,39.0,84.0,230.12,561.19,116.71,1.57,569.83,641.73,12.0,0.83,1367.0,0.58,50.4,5986.32
Pyramid-IIIC-DS-2-5M-2,6203,28819.7,14176.9,1.58,81.61,1.04,1804.89,6.0,37.0,80.0,383.48,468.96,92.2,1.54,338.32,430.86,9.0,0.83,1506.0,0.39,54.52,5887.15
Pyramid-IIIC-DS-2-5M-3,6204,31724.4,18450.7,1.41,78.63,1.04,1503.16,7.0,43.0,93.0,293.22,669.0,98.11,1.58,415.17,486.16,12.0,0.84,1613.0,0.46,61.32,6238.41
Pyramid-IIIC-DS-2-5M-4,6205,16138.9,6416.76,1.63,71.28,1.05,1233.21,10.0,28.0,66.0,258.87,333.46,94.99,1.25,201.64,312.25,8.0,0.84,1287.0,0.47,55.17,4085.85
