neuron_name,neuron_id,neurite_surface_nmo,neurite_volume_nmo,pk_classic_nmo,bif_ampl_local_nmo,fractal_dim_nmo,soma_surface_nmo,n_stems_nmo,n_bifs_nmo,n_branch_nmo,width_nmo,height_nmo,depth_nmo,diameter_nmo,euc_distance_nmo,path_distance_nmo,branch_order_nmo,contraction_nmo,fragmentation_nmo,partition_asymmetry_nmo,bif_ampl_remote_nmo,neurite_length_nmo
Homo-sapiens_-4203_BA46_1-3_a,177568,231.885,6.95655,2.0,67.7016,1.01397,324.119,5.0,23.0,51.0,76.4,34.14,0.39,0.12,96.8141,107.827,6.0,0.956,289.0,0.600414,42.1776,615.094
Homo-sapiens_-4203_BA46_1-3_b,177616,288.184,8.64552,2.0,70.2375,1.02174,128.3,5.0,23.0,51.0,183.97,48.46,0.2,0.12,217.709,232.133,9.0,0.94429,306.0,0.710898,46.1171,764.432
Homo-sapiens_-4203_BA46_1-3_c,177644,233.348,7.00043,2.0,72.0019,1.01545,119.246,4.0,30.0,64.0,118.06,36.11,0.05,0.12,132.584,137.984,8.0,0.932748,303.0,0.54899,63.2587,618.974
Homo-sapiens_-5893_BA47_1-3_a,177617,296.432,8.89295,2.0,77.2806,1.01259,331.957,4.0,23.0,50.0,142.54,55.63,1.54,0.12,174.769,192.87,6.0,0.953199,303.0,0.600414,58.7444,786.309
Homo-sapiens_-5893_BA47_1-3_b,177629,324.777,12.8376,2.0,65.2655,1.01486,137.626,3.0,27.0,57.0,146.27,67.56,3.51,0.15811,162.887,178.7,15.0,0.955875,254.0,0.734568,66.0519,656.297
Human_BA9_10yo_-210_1-2a,149406,319.871,19.9919,2.0,90.1504,1.04198,325.717,5.0,10.0,25.0,84.54,52.44,2.12,0.25,96.1999,102.151,2.0,0.890127,186.0,0.3,64.8838,407.272
Human_BA9_10yo_-210_1-2b,149499,227.674,14.2296,2.0,102.57,1.04177,380.035,6.0,6.0,18.0,128.47,25.64,1.46,0.25,121.585,135.932,5.0,0.873986,136.0,0.6,86.6373,289.884
Human_BA9_10yo_-210_3-10a,149436,235.403,14.7127,2.0,92.5746,1.02761,140.493,3.0,8.0,19.0,103.0,26.59,1.82,0.25,116.903,126.763,5.0,0.921346,480.0,0.75,59.5718,299.724
Human_BA9_10yo_-210_3-10b,149378,303.586,18.9741,2.0,88.0408,1.02847,206.555,4.0,11.0,26.0,146.79,35.28,1.0,0.25,147.057,171.475,7.0,0.907212,629.0,0.61039,52.7844,386.537
Human_BA9_10yo_-210_3-10c,149328,407.773,25.4858,2.0,78.6826,1.03033,160.072,1.0,8.0,17.0,196.44,29.05,2.28,0.25,219.7,237.178,5.0,0.891478,716.0,0.491071,28.7725,519.193
Human_BA9_10yo_-210_3-10d,149454,372.201,23.2626,2.0,65.5708,1.02258,171.674,1.0,7.0,15.0,226.81,55.82,1.18,0.25,249.409,271.034,5.0,0.935816,634.0,0.571429,44.9819,473.901
Human_BA9_10yo_-210_3-10e,149395,274.373,17.1483,2.0,59.5942,1.0135,184.626,3.0,4.0,11.0,155.22,25.94,0.32,0.25,172.344,180.432,3.0,0.944837,394.0,0.333333,15.5432,349.342
