neuron_id,neuron_name,archive,note,age_scale,gender,age_classification,species,strain,scientific_name,stain,experiment_condition,protocol,slicing_direction,reconstruction_software,objective_type,original_format,domain,attributes,magnification,shrinkage_reported,shrinkage_corrected,slicing_thickness,min_age,max_age,min_weight,max_weight,reference_doi,primary_brain_region,secondary_brain_region,tertiary_brain_region,primary_cell_class,secondary_cell_class,tertiary_cell_class,physical_integrity
177568,Homo-sapiens_-4203_BA46_1-3_a,falcone,,not reported,not reported,adult,human,not applicable,,immunostaining,control,in vitro,coronal,neurolucida,oil,neurolucida.dat,"processes, soma","no diameter, 2d, angles",40.0,not reported,,14.0,not reported,not reported,not reported,not reported,10.1002/cne.24605,neocortex,frontal,not reported,glia,astrocyte,"interlaminar, gfap-positive",process moderate
177616,Homo-sapiens_-4203_BA46_1-3_b,falcone,,not reported,not reported,adult,human,not applicable,,immunostaining,control,in vitro,coronal,neurolucida,oil,neurolucida.dat,"processes, soma","no diameter, 2d, angles",40.0,not reported,,14.0,not reported,not reported,not reported,not reported,10.1002/cne.24605,neocortex,frontal,not reported,glia,astrocyte,"interlaminar, gfap-positive",process moderate
177644,Homo-sapiens_-4203_BA46_1-3_c,falcone,,not reported,not reported,adult,human,not applicable,,immunostaining,control,in vitro,coronal,neurolucida,oil,neurolucida.dat,"processes, soma","no diameter, 2d, angles",40.0,not reported,,14.0,not reported,not reported,not reported,not reported,10.1002/cne.24605,neocortex,frontal,not reported,glia,astrocyte,"interlaminar, gfap-positive",process moderate
177617,Homo-sapiens_-5893_BA47_1-3_a,falcone,,not reported,not reported,adult,human,not applicable,,immunostaining,control,in vitro,coronal,neurolucida,oil,neurolucida.dat,"processes, soma","no diameter, 2d, angles",40.0,not reported,,14.0,not reported,not reported,not reported,not reported,10.1002/cne.24605,neocortex,frontal,not reported,glia,astrocyte,"interlaminar, gfap-positive",process moderate
177629,Homo-sapiens_-5893_BA47_1-3_b,falcone,,not reported,not reported,adult,human,not applicable,,immunostaining,control,in vitro,coronal,neurolucida,oil,neurolucida.dat,"processes, soma","no diameter, 3d, angles",40.0,not reported,,14.0,not reported,not reported,not reported,not reported,10.1002/cne.24605,neocortex,frontal,not reported,glia,astrocyte,"interlaminar, gfap-positive",process moderate
149406,Human_BA9_10yo_-210_1-2a,falcone,,year,male/female,young,human,not applicable,,immunostaining,control,in vitro,coronal,neurolucida,oil,neurolucida.dat,"processes, soma","no diameter, 2d, angles",40.0,not reported,,16.0,10.0,10.0,not reported,not reported,10.1093/cercor/bhaa231,neocortex,frontal,"dorsal, brodmann area 9",glia,astrocyte,"gfap-positive, interlaminar",process moderate
149499,Human_BA9_10yo_-210_1-2b,falcone,,year,male/female,young,human,not applicable,,immunostaining,control,in vitro,coronal,neurolucida,oil,neurolucida.dat,"processes, soma","no diameter, 3d, angles",40.0,not reported,,16.0,10.0,10.0,not reported,not reported,10.1093/cercor/bhaa231,neocortex,frontal,"dorsal, brodmann area 9",glia,astrocyte,"gfap-positive, interlaminar",process moderate
149436,Human_BA9_10yo_-210_3-10a,falcone,,year,male/female,young,human,not applicable,,immunostaining,control,in vitro,coronal,neurolucida,oil,neurolucida.dat,"processes, soma","no diameter, 2d, angles",40.0,not reported,,16.0,10.0,10.0,not reported,not reported,10.1093/cercor/bhaa231,neocortex,frontal,"dorsal, brodmann area 9",glia,astrocyte,"gfap-positive, interlaminar",process moderate
149378,Human_BA9_10yo_-210_3-10b,falcone,,year,male/female,young,human,not applicable,,immunostaining,control,in vitro,coronal,neurolucida,oil,neurolucida.dat,"processes, soma","no diameter, 2d, angles",40.0,not reported,,16.0,10.0,10.0,not reported,not reported,10.1093/cercor/bhaa231,neocortex,frontal,"dorsal, brodmann area 9",glia,astrocyte,"gfap-positive, interlaminar",process moderate
149328,Human_BA9_10yo_-210_3-10c,falcone,,year,male/female,young,human,not applicable,,immunostaining,control,in vitro,coronal,neurolucida,oil,neurolucida.dat,"processes, soma","no diameter, 2d, angles",40.0,not reported,,16.0,10.0,10.0,not reported,not reported,10.1093/cercor/bhaa231,neocortex,frontal,"dorsal, brodmann area 9",glia,astrocyte,"gfap-positive, interlaminar",process moderate
