neuron_name,neuron_id,neurite_surface_nmo,neurite_volume_nmo,pk_classic_nmo,bif_ampl_local_nmo,fractal_dim_nmo,soma_surface_nmo,n_stems_nmo,n_bifs_nmo,n_branch_nmo,width_nmo,height_nmo,depth_nmo,diameter_nmo,euc_distance_nmo,path_distance_nmo,branch_order_nmo,contraction_nmo,fragmentation_nmo,partition_asymmetry_nmo,bif_ampl_remote_nmo,neurite_length_nmo
1-10-10,3472,8050.11,3556.23,1.86,66.02,1.05,1340.03,4.0,19.0,42.0,192.52,250.45,92.02,1.34,196.37,243.35,5.0,0.86,209.0,0.39,64.22,1755.99
1-10-1,3471,15104.8,5519.43,1.7,72.69,1.06,985.698,6.0,31.0,68.0,250.15,322.55,114.2,1.28,233.6,290.76,6.0,0.86,549.0,0.42,65.18,3689.16
1-10-2,3473,4704.57,1981.7,2.0,68.48,1.03,936.219,5.0,18.0,41.0,186.73,297.17,94.61,0.75,223.91,232.03,4.0,0.9,202.0,0.47,59.51,1587.64
1-10-3,3474,3856.53,2340.84,2.0,72.57,1.04,1272.52,3.0,12.0,27.0,197.74,220.06,114.12,0.78,190.21,221.41,5.0,0.91,141.0,0.39,64.64,1317.47
1-10-4,3475,16370.7,6030.06,1.84,60.96,1.06,1162.58,5.0,27.0,59.0,290.53,360.85,115.1,1.26,274.31,362.24,7.0,0.88,508.0,0.45,59.47,3958.08
1-10-5,3476,16381.1,6795.19,1.7,64.72,1.05,1142.68,5.0,26.0,57.0,210.08,406.04,102.83,1.36,231.26,322.04,7.0,0.88,511.0,0.49,54.84,3682.49
1-10-6,3477,16760.3,6987.95,1.72,79.13,1.06,1202.38,5.0,27.0,59.0,327.06,385.0,107.69,1.34,263.22,324.22,6.0,0.88,425.0,0.53,60.5,3807.15
1-10-7,3478,15303.4,6521.11,1.72,66.44,1.05,1811.97,5.0,25.0,55.0,369.77,291.09,127.26,1.36,231.44,294.34,5.0,0.87,414.0,0.5,53.82,3428.02
1-10-9,3480,18180.09,7779.67,1.75,68.83,1.04,1732.88,6.0,31.0,68.0,300.96,387.48,107.43,1.32,253.45,334.51,6.0,0.89,452.0,0.4,60.36,4154.51
1-11-10,3482,9639.0,5001.1,1.76,73.54,1.05,1218.64,7.0,19.0,45.0,226.55,287.46,88.44,1.43,226.1,258.17,4.0,0.83,268.0,0.3,44.59,1978.93
1-11-1,3481,8787.2,3548.43,2.0,47.15,1.03,1814.54,7.0,24.0,55.0,304.84,368.55,123.08,0.71,310.1,344.57,5.0,0.89,375.0,0.52,50.69,3607.14
1-11-2,3483,8291.65,2759.86,2.0,57.28,1.03,1665.66,5.0,29.0,63.0,235.4,262.93,102.3,0.79,292.84,333.32,6.0,0.88,423.0,0.41,58.58,3222.46
1-11-3,3484,23059.1,14177.6,1.49,73.05,1.05,1723.59,7.0,32.0,71.0,248.1,400.2,124.62,1.74,256.82,299.91,5.0,0.87,477.0,0.39,62.84,3877.67
1-11-4,3485,8763.02,5682.24,1.5,78.15,1.04,1857.83,5.0,16.0,37.0,177.16,200.06,93.57,1.53,176.54,220.38,5.0,0.89,234.0,0.5,73.99,1563.6
1-11-6,3487,17059.8,8396.39,1.58,62.71,1.06,1543.42,5.0,24.0,53.0,323.48,390.76,94.56,1.38,249.77,349.33,6.0,0.83,400.0,0.47,55.85,3596.62
1-11-7,3488,14687.9,7509.92,1.69,66.49,1.04,2183.93,4.0,21.0,46.0,372.92,295.99,101.37,1.38,284.01,425.15,5.0,0.86,371.0,0.37,55.6,3088.56
1-11-9,3490,12733.5,5642.67,1.77,68.62,1.05,1404.51,5.0,26.0,57.0,287.8,296.17,103.53,1.32,265.53,367.29,6.0,0.87,332.0,0.51,67.35,2847.17
