neuron_id,neuron_name,archive,note,age_scale,gender,age_classification,species,strain,scientific_name,stain,experiment_condition,protocol,slicing_direction,reconstruction_software,objective_type,original_format,domain,attributes,magnification,shrinkage_reported,shrinkage_corrected,slicing_thickness,min_age,max_age,min_weight,max_weight,reference_doi,primary_brain_region,secondary_brain_region,tertiary_brain_region,primary_cell_class,secondary_cell_class,tertiary_cell_class,physical_integrity
3472,1-10-10,jacobs,,year,male,not reported,human,not applicable,,golgi,control,in vitro,custom,neurolucida,dry,neurolucida.dat,"dendrites, soma, no axon","diameter, 3d, angles",40.0,not reported,,120.0,23.0,23.0,82000.0,82000.0,10.1093/cercor/11.6.558,neocortex,temporal,brodmann area 22,principal cell,pyramidal,not reported,dendrites moderate
3471,1-10-1,jacobs,,year,male,not reported,human,not applicable,,golgi,control,in vitro,custom,neurolucida,dry,neurolucida.dat,"dendrites, soma, no axon","diameter, 3d, angles",40.0,not reported,,120.0,23.0,23.0,82000.0,82000.0,10.1093/cercor/11.6.558,neocortex,temporal,brodmann area 22,principal cell,pyramidal,not reported,dendrites moderate
3473,1-10-2,jacobs,,year,male,not reported,human,not applicable,,golgi,control,in vitro,custom,neurolucida,dry,neurolucida.dat,"dendrites, soma, no axon","diameter, 3d, angles",40.0,not reported,,120.0,23.0,23.0,82000.0,82000.0,10.1093/cercor/11.6.558,neocortex,temporal,brodmann area 22,principal cell,pyramidal,not reported,dendrites moderate
3474,1-10-3,jacobs,,year,male,not reported,human,not applicable,,golgi,control,in vitro,custom,neurolucida,dry,neurolucida.dat,"dendrites, soma, no axon","diameter, 3d, angles",40.0,not reported,,120.0,23.0,23.0,82000.0,82000.0,10.1093/cercor/11.6.558,neocortex,temporal,brodmann area 22,principal cell,pyramidal,not reported,dendrites moderate
3475,1-10-4,jacobs,,year,male,not reported,human,not applicable,,golgi,control,in vitro,custom,neurolucida,dry,neurolucida.dat,"dendrites, soma, no axon","diameter, 3d, angles",40.0,not reported,,120.0,23.0,23.0,82000.0,82000.0,10.1093/cercor/11.6.558,neocortex,temporal,brodmann area 22,principal cell,pyramidal,not reported,dendrites moderate
3476,1-10-5,jacobs,,year,male,not reported,human,not applicable,,golgi,control,in vitro,custom,neurolucida,dry,neurolucida.dat,"dendrites, soma, no axon","diameter, 3d, angles",40.0,not reported,,120.0,23.0,23.0,82000.0,82000.0,10.1093/cercor/11.6.558,neocortex,temporal,brodmann area 22,principal cell,pyramidal,not reported,dendrites moderate
3477,1-10-6,jacobs,,year,male,not reported,human,not applicable,,golgi,control,in vitro,custom,neurolucida,dry,neurolucida.dat,"dendrites, soma, no axon","diameter, 3d, angles",40.0,not reported,,120.0,23.0,23.0,82000.0,82000.0,10.1093/cercor/11.6.558,neocortex,temporal,brodmann area 22,principal cell,pyramidal,not reported,dendrites moderate
3478,1-10-7,jacobs,,year,male,not reported,human,not applicable,,golgi,control,in vitro,custom,neurolucida,dry,neurolucida.dat,"dendrites, soma, no axon","diameter, 3d, angles",40.0,not reported,,120.0,23.0,23.0,82000.0,82000.0,10.1093/cercor/11.6.558,neocortex,temporal,brodmann area 22,principal cell,pyramidal,not reported,dendrites moderate
3480,1-10-9,jacobs,,year,male,not reported,human,not applicable,,golgi,control,in vitro,custom,neurolucida,dry,neurolucida.dat,"dendrites, soma, no axon","diameter, 3d, angles",40.0,not reported,,120.0,23.0,23.0,82000.0,82000.0,10.1093/cercor/11.6.558,neocortex,temporal,brodmann area 22,principal cell,pyramidal,not reported,dendrites moderate
3482,1-11-10,jacobs,,year,male,not reported,human,not applicable,,golgi,control,in vitro,custom,neurolucida,dry,neurolucida.dat,"dendrites, soma, no axon","diameter, 3d, angles",40.0,not reported,,120.0,23.0,23.0,82000.0,82000.0,10.1093/cercor/11.6.558,neocortex,frontal,brodmann area 44,principal cell,pyramidal,not reported,dendrites moderate
