neuron_name,neuron_id,neurite_surface_nmo,neurite_volume_nmo,pk_classic_nmo,bif_ampl_local_nmo,fractal_dim_nmo,soma_surface_nmo,n_stems_nmo,n_bifs_nmo,n_branch_nmo,width_nmo,height_nmo,depth_nmo,diameter_nmo,euc_distance_nmo,path_distance_nmo,branch_order_nmo,contraction_nmo,fragmentation_nmo,partition_asymmetry_nmo,bif_ampl_remote_nmo,neurite_length_nmo
02a_pyramidal2aFI,1042,14198.9,7556.19,1.42,70.7,1.07,1997.41,4.0,14.0,32.0,263.78,404.85,128.19,1.27,294.44,526.4,6.0,0.71,1511.0,0.45,55.9,3153.61
02b_pyramidal1aACC,1043,6750.2,3769.69,1.41,80.57,1.06,1232.13,7.0,9.0,25.0,84.03,363.08,23.46,1.58,225.94,291.47,4.0,0.78,608.0,0.44,55.22,1228.88
02b_pyramidal1aFI,1044,12168.4,6768.39,1.5,79.39,1.1,2126.17,6.0,6.0,18.0,188.87,381.56,172.14,1.62,330.25,577.45,3.0,0.63,922.0,0.33,42.77,2133.96
03a_pyramidal9aFI,1045,15709.2,10261.6,1.36,94.64,1.06,1994.25,7.0,7.0,21.0,187.44,532.3,157.36,2.15,472.88,679.33,5.0,0.73,813.0,0.71,56.49,2281.33
03a_spindle2aFI,1078,7966.37,5201.46,1.90015,89.8825,1.03234,1583.44,2.0,66.0,134.0,95.4313,387.162,134.29,1.7373,250.951,342.794,17.0,0.940096,508.0,0.759303,91.0753,1293.78
03a_spindle6aFI,1079,7358.54,4398.38,1.44,61.76,1.09,2945.51,3.0,11.0,25.0,113.38,501.47,45.9,1.66,325.82,420.66,7.0,0.74,573.0,0.45,61.41,1320.95
03b_pyramidal2aACC,1046,3787.3,2053.82,1.92263,89.7024,1.0277,516.392,4.0,49.0,102.0,92.5041,189.291,43.94,1.48226,144.07,156.138,12.0,0.958568,252.0,0.736464,79.5616,738.445
03b_pyramidal3aACC,1047,3115.44,1102.86,1.64,93.53,1.05,931.68,4.0,10.0,24.0,107.57,188.45,43.23,1.14,138.53,187.38,5.0,0.83,318.0,0.7,88.72,823.02
03b_pyramidal3aFI,1048,22213.7,18644.3,1.37,92.37,1.09,2615.71,6.0,16.0,38.0,177.23,496.35,186.66,1.84,310.24,462.72,5.0,0.7,1265.0,0.41,54.92,3242.14
03b_pyramidal4aFI,1049,11585.1,6665.9,0.94,69.67,1.06,3002.54,7.0,4.0,15.0,205.77,414.7,159.1,1.33,380.39,574.36,3.0,0.73,970.0,0.5,66.93,2420.69
03b_pyramidal9aFI,1050,10287.2,5806.44,1.21,83.13,1.06,1456.93,5.0,6.0,17.0,138.39,430.06,74.59,1.92,329.64,411.5,4.0,0.76,652.0,0.66,69.9,1701.8
03b_spindle4aACC,1080,2921.59,1290.4,1.5,89.36,1.04,589.47,2.0,3.0,8.0,36.01,336.33,49.93,1.43,243.59,353.26,2.0,0.72,226.0,0.33,48.61,617.12
03b_spindle5aACC,1081,2368.41,1444.31,1.55,99.51,1.05,1462.35,2.0,5.0,12.0,32.75,221.52,39.99,1.49,127.89,157.21,3.0,0.83,165.0,0.6,64.23,419.19
03b_spindle6aACC,1082,5087.78,2365.93,1.95453,79.5102,1.02883,688.327,2.0,66.0,134.0,43.1649,398.36,39.29,1.32904,221.58,283.829,23.0,0.94175,489.0,0.818187,82.1689,1134.88
03b_spindle7aACC,1083,3583.35,1605.3,1.69,133.02,1.03,812.0,2.0,4.0,10.0,104.12,369.51,32.79,1.18,227.49,301.7,2.0,0.8,484.0,0.5,32.08,901.28
04a_pyramidal5aACC,1052,13677.6,9095.2,1.42,61.54,1.06,1486.85,6.0,16.0,38.0,135.73,410.59,53.04,1.86,322.54,476.7,4.0,0.75,951.0,0.47,49.58,2066.35
04b_pyramidal5aFI,1053,14491.5,8658.94,1.95765,93.8713,1.034,1206.78,5.0,160.0,325.0,196.515,480.132,53.17,1.77903,385.351,442.158,43.0,0.961232,929.0,0.808581,92.4286,2409.65
04b_pyramidal6aACC,1054,11849.2,5447.0,2.45689,75.443,1.02828,568.013,8.0,211.0,430.0,154.241,465.881,99.47,1.41229,405.919,526.354,27.0,0.955058,1249.0,0.847847,77.793,2516.08
