neuron_id,neuron_name,archive,note,age_scale,gender,age_classification,species,strain,scientific_name,stain,experiment_condition,protocol,slicing_direction,reconstruction_software,objective_type,original_format,domain,attributes,magnification,shrinkage_reported,shrinkage_corrected,slicing_thickness,min_age,max_age,min_weight,max_weight,reference_doi,primary_brain_region,secondary_brain_region,tertiary_brain_region,primary_cell_class,secondary_cell_class,tertiary_cell_class,physical_integrity
1042,02a_pyramidal2aFI,allman,,year,male,adult,human,not applicable,,golgi,control,in vitro,not reported,neurolucida,oil,neurolucida.asc,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,200,23,23,not reported,not reported,10.1016/j.neuroscience.2006.04.084,neocortex,fronto-insula,layer 5,principal cell,pyramidal,not reported,dendrites moderate
1043,02b_pyramidal1aACC,allman,,year,male,adult,human,not applicable,,golgi,control,in vitro,not reported,neurolucida,oil,neurolucida.asc,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,200,23,23,not reported,not reported,10.1016/j.neuroscience.2006.04.084,neocortex,anterior cingulate,layer 5,principal cell,pyramidal,not reported,dendrites moderate
1044,02b_pyramidal1aFI,allman,,year,male,adult,human,not applicable,,golgi,control,in vitro,not reported,neurolucida,oil,neurolucida.asc,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,200,23,23,not reported,not reported,10.1016/j.neuroscience.2006.04.084,neocortex,fronto-insula,layer 5,principal cell,pyramidal,not reported,dendrites moderate
1045,03a_pyramidal9aFI,allman,,year,male,adult,human,not applicable,,golgi,control,in vitro,not reported,neurolucida,oil,neurolucida.asc,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,200,23,23,not reported,not reported,10.1016/j.neuroscience.2006.04.084,neocortex,fronto-insula,layer 5,principal cell,pyramidal,not reported,dendrites moderate
1078,03a_spindle2aFI,allman,"when originally released, this reconstruction had been incompletely processed, and this issue was fixed in release 6.3 (february 2016). the pre-6.3 version of the processed file is available for download <a href="" dablefiles/previous/v6.3/allman/03a_spindle2afi.cng.swc "">here</a>.",year,male,adult,human,not applicable,,golgi,control,in vitro,not reported,neurolucida,oil,neurolucida.asc,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,200,23,23,not reported,not reported,10.1016/j.neuroscience.2006.04.084,neocortex,fronto-insula,layer 5,principal cell,von economo neuron,not reported,dendrites moderate
1079,03a_spindle6aFI,allman,,year,male,adult,human,not applicable,,golgi,control,in vitro,not reported,neurolucida,oil,neurolucida.asc,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,200,23,23,not reported,not reported,10.1016/j.neuroscience.2006.04.084,neocortex,fronto-insula,layer 5,principal cell,von economo neuron,not reported,dendrites moderate
1046,03b_pyramidal2aACC,allman,"when originally released, this reconstruction had been incompletely processed, and this issue was fixed in release 6.3 (february 2016). the pre-6.3 version of the processed file is available for download <a href="" dablefiles/previous/v6.3/allman/03b_pyramidal2aacc.cng.swc "">here</a>.",year,male,adult,human,not applicable,,golgi,control,in vitro,not reported,neurolucida,oil,neurolucida.asc,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,200,23,23,not reported,not reported,10.1016/j.neuroscience.2006.04.084,neocortex,anterior cingulate,layer 5,principal cell,pyramidal,not reported,dendrites moderate
1047,03b_pyramidal3aACC,allman,,year,male,adult,human,not applicable,,golgi,control,in vitro,not reported,neurolucida,oil,neurolucida.asc,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,200,23,23,not reported,not reported,10.1016/j.neuroscience.2006.04.084,neocortex,anterior cingulate,layer 5,principal cell,pyramidal,not reported,dendrites moderate
1048,03b_pyramidal3aFI,allman,,year,male,adult,human,not applicable,,golgi,control,in vitro,not reported,neurolucida,oil,neurolucida.asc,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,200,23,23,not reported,not reported,10.1016/j.neuroscience.2006.04.084,neocortex,fronto-insula,layer 5,principal cell,pyramidal,not reported,dendrites moderate
1049,03b_pyramidal4aFI,allman,,year,male,adult,human,not applicable,,golgi,control,in vitro,not reported,neurolucida,oil,neurolucida.asc,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,200,23,23,not reported,not reported,10.1016/j.neuroscience.2006.04.084,neocortex,fronto-insula,layer 5,principal cell,pyramidal,not reported,dendrites moderate
1050,03b_pyramidal9aFI,allman,,year,male,adult,human,not applicable,,golgi,control,in vitro,not reported,neurolucida,oil,neurolucida.asc,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,200,23,23,not reported,not reported,10.1016/j.neuroscience.2006.04.084,neocortex,fronto-insula,layer 5,principal cell,pyramidal,not reported,dendrites moderate
1080,03b_spindle4aACC,allman,,year,male,adult,human,not applicable,,golgi,control,in vitro,not reported,neurolucida,oil,neurolucida.asc,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,200,23,23,not reported,not reported,10.1016/j.neuroscience.2006.04.084,neocortex,anterior cingulate,layer 5,principal cell,von economo neuron,not reported,dendrites moderate
1081,03b_spindle5aACC,allman,,year,male,adult,human,not applicable,,golgi,control,in vitro,not reported,neurolucida,oil,neurolucida.asc,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,200,23,23,not reported,not reported,10.1016/j.neuroscience.2006.04.084,neocortex,anterior cingulate,layer 5,principal cell,von economo neuron,not reported,dendrites moderate
1082,03b_spindle6aACC,allman,"when originally released, this reconstruction had been incompletely processed, and this issue was fixed in release 6.3 (february 2016). the pre-6.3 version of the processed file is available for download <a href="" dablefiles/previous/v6.3/allman/03b_spindle6aacc.cng.swc "">here</a>.",year,male,adult,human,not applicable,,golgi,control,in vitro,not reported,neurolucida,oil,neurolucida.asc,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,200,23,23,not reported,not reported,10.1016/j.neuroscience.2006.04.084,neocortex,anterior cingulate,layer 5,principal cell,von economo neuron,not reported,dendrites moderate
1083,03b_spindle7aACC,allman,,year,male,adult,human,not applicable,,golgi,control,in vitro,not reported,neurolucida,oil,neurolucida.asc,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,200,23,23,not reported,not reported,10.1016/j.neuroscience.2006.04.084,neocortex,anterior cingulate,layer 5,principal cell,von economo neuron,not reported,dendrites moderate
1052,04a_pyramidal5aACC,allman,,year,male,adult,human,not applicable,,golgi,control,in vitro,not reported,neurolucida,oil,neurolucida.asc,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,200,23,23,not reported,not reported,10.1016/j.neuroscience.2006.04.084,neocortex,anterior cingulate,layer 5,principal cell,pyramidal,not reported,dendrites moderate
1053,04b_pyramidal5aFI,allman,"when originally released, this reconstruction had been incompletely processed, and this issue was fixed in release 6.3 (february 2016). the pre-6.3 version of the processed file is available for download <a href="" dablefiles/previous/v6.3/allman/04b_pyramidal5afi.cng.swc "">here</a>.",year,male,adult,human,not applicable,,golgi,control,in vitro,not reported,neurolucida,oil,neurolucida.asc,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,200,23,23,not reported,not reported,10.1016/j.neuroscience.2006.04.084,neocortex,fronto-insula,layer 5,principal cell,pyramidal,not reported,dendrites moderate
1054,04b_pyramidal6aACC,allman,"when originally released, this reconstruction had been incompletely processed, and this issue was fixed in release 6.3 (february 2016). the pre-6.3 version of the processed file is available for download <a href="" dablefiles/previous/v6.3/allman/04b_pyramidal6aacc.cng.swc "">here</a>.",year,male,adult,human,not applicable,,golgi,control,in vitro,not reported,neurolucida,oil,neurolucida.asc,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,200,23,23,not reported,not reported,10.1016/j.neuroscience.2006.04.084,neocortex,anterior cingulate,layer 5,principal cell,pyramidal,not reported,dendrites moderate
1055,04b_pyramidal6aFI,allman,"when originally released, this reconstruction had been incompletely processed, and this issue was fixed in release 6.3 (february 2016). the pre-6.3 version of the processed file is available for download <a href="" dablefiles/previous/v6.3/allman/04b_pyramidal6afi.cng.swc "">here</a>.",year,male,adult,human,not applicable,,golgi,control,in vitro,not reported,neurolucida,oil,neurolucida.asc,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,200,23,23,not reported,not reported,10.1016/j.neuroscience.2006.04.084,neocortex,fronto-insula,layer 5,principal cell,pyramidal,not reported,dendrites moderate
1056,04b_pyramidal7aACC,allman,"when originally released, this reconstruction had been incompletely processed, and this issue was fixed in release 6.3 (february 2016). the pre-6.3 version of the processed file is available for download <a href="" dablefiles/previous/v6.3/allman/04b_pyramidal7aacc.cng.swc "">here</a>.",year,male,adult,human,not applicable,,golgi,control,in vitro,not reported,neurolucida,oil,neurolucida.asc,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,200,23,23,not reported,not reported,10.1016/j.neuroscience.2006.04.084,neocortex,anterior cingulate,layer 5,principal cell,pyramidal,not reported,dendrites moderate
1084,04b_spindle3aFI,allman,,year,male,adult,human,not applicable,,golgi,control,in vitro,not reported,neurolucida,oil,neurolucida.asc,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,200,23,23,not reported,not reported,10.1016/j.neuroscience.2006.04.084,neocortex,fronto-insula,layer 5,principal cell,von economo neuron,not reported,dendrites moderate
