neuron_name,neuron_id,neurite_surface_nmo,neurite_volume_nmo,pk_classic_nmo,bif_ampl_local_nmo,fractal_dim_nmo,soma_surface_nmo,n_stems_nmo,n_bifs_nmo,n_branch_nmo,width_nmo,height_nmo,depth_nmo,diameter_nmo,euc_distance_nmo,path_distance_nmo,branch_order_nmo,contraction_nmo,fragmentation_nmo,partition_asymmetry_nmo,bif_ampl_remote_nmo,neurite_length_nmo
1-Human-hcca1-idab1-porta-4-cel16soma-z-corr-1-7,147069,23833.4,8412.47,1.81107,58.8508,1.02404,1629.92,11.0,51.0,113.0,240.662,427.65,119.4,1.00555,286.855,323.195,11.0,0.913272,5174.0,0.417216,51.4278,6998.91
10-Human-hcca1-idab1-porta5-sec1-cel7-soma-z-corr-1-7,147090,37217.4,17339.5,1.72822,51.3573,1.02126,1392.09,10.0,51.0,112.0,371.459,650.212,122.14,1.34957,761.192,810.676,16.0,0.929977,5613.0,0.548623,57.8198,8728.32
11-human-hcca1-idab-1-porta5-sec1-cel8-soma-z-corr-1-7,147145,41186.7,13848.6,1.80107,60.2142,1.01989,1750.6,5.0,65.0,135.0,269.633,627.471,195.92,1.06179,467.059,511.547,14.0,0.92594,7921.0,0.466051,38.8584,12226.3
12-human-hcca1-idab1-porta5-sec1-cel9-soma-corr1-7z,147060,28894.9,14157.7,1.70281,58.7027,1.02132,2039.21,7.0,44.0,95.0,278.879,602.73,122.8,1.40915,430.86,463.934,12.0,0.931094,4141.0,0.530049,52.7666,6408.51
14-human-hcca1-idab1-porta6-sec1-cel5-soma-corr1-7z,147114,44912.3,16763.0,1.71307,55.2616,1.01829,1181.84,9.0,69.0,147.0,268.528,712.751,160.06,1.17751,732.61,796.993,12.0,0.933335,8041.0,0.482305,52.944,11948.4
15-human-hcca1-idab1-porta6-sec1-cel7-soma-corr1-7z,147144,29257.3,13565.5,1.77362,67.1158,1.0245,1100.47,4.0,42.0,88.0,334.305,464.329,131.04,1.26108,391.706,432.867,17.0,0.914995,4631.0,0.530699,66.4087,7422.8
16-human-hcca1-idab1-porta6-sec1-cel8-soma-z-corr-1-7,147131,22361.3,10292.2,1.81549,56.4796,1.02974,1418.93,11.0,37.0,85.0,222.061,508.12,128.38,1.19686,344.478,416.278,9.0,0.903313,3489.0,0.374462,52.5824,5746.65
17-human-hcca1-idab1-porta6-sec1-cel9-soma-z-corr-1-7,147142,31625.9,12443.5,1.72562,56.5213,1.0288,1186.75,6.0,53.0,112.0,284.306,640.91,124.48,1.11312,569.888,607.373,14.0,0.903729,5839.0,0.510652,44.3917,8968.84
h173-cel-4-11,72460,7819.71,801.52,2.0,75.5195,1.03002,895.224,5.0,22.0,49.0,456.676,487.791,126.89,0.41,307.24,408.004,5.0,0.894601,904.0,0.304329,56.4225,6070.95
h173-cel-5,72472,6201.57,635.661,2.0,83.9882,1.02447,2234.03,6.0,26.0,58.0,342.137,401.562,77.51,0.41,298.502,349.176,12.0,0.929159,964.0,0.846154,68.2542,4814.68
h173-cel-6,72461,6491.34,665.362,2.0,62.3263,1.03362,1262.88,6.0,23.0,52.0,357.47,378.051,87.42,0.41,258.777,293.139,4.0,0.916757,335.0,0.501449,56.2474,5039.65
