neuron_name,neuron_id,neurite_surface_nmo,neurite_volume_nmo,pk_classic_nmo,bif_ampl_local_nmo,fractal_dim_nmo,soma_surface_nmo,n_stems_nmo,n_bifs_nmo,n_branch_nmo,width_nmo,height_nmo,depth_nmo,diameter_nmo,euc_distance_nmo,path_distance_nmo,branch_order_nmo,contraction_nmo,fragmentation_nmo,partition_asymmetry_nmo,bif_ampl_remote_nmo,neurite_length_nmo
1-S1-A1,1687,28699.6,26235.2,1.50046,62.5492,1.00532,361454.0,6.0,27.0,60.0,330.291,427.524,70.35,2.19821,366.923,435.6,7.0,0.900458,1119.0,0.4806,53.2765,3689.47
1-S1-B2,1688,25734.0,18853.6,1.28345,74.6263,1.00583,221746.0,4.0,22.0,48.0,327.817,434.264,100.23,2.04448,289.637,358.667,5.0,0.902744,996.0,0.531061,57.2931,3666.34
1-S1-B4,1689,28558.4,24608.2,1.39763,65.5287,1.01296,254715.0,5.0,23.0,51.0,416.643,446.128,84.38,2.08391,429.589,515.922,6.0,0.886792,1237.0,0.557971,55.645,3899.01
1-S11-A1,1690,36483.3,27978.6,1.30674,72.4628,1.00697,210310.0,5.0,28.0,61.0,500.62,510.712,86.77,2.01498,372.833,486.384,6.0,0.903398,1375.0,0.37534,62.1292,5401.33
1-S12-1,1691,42179.2,36284.6,1.36547,65.2902,1.00795,234306.0,7.0,31.0,69.0,394.647,485.927,113.69,2.21929,439.124,485.509,6.0,0.919964,1291.0,0.42619,55.9035,5689.33
1-S12-A2,1692,27256.6,25124.6,1.36251,71.8531,1.00983,236280.0,4.0,31.0,66.0,314.371,329.578,82.26,2.08713,286.986,328.72,5.0,0.913483,1018.0,0.422222,57.2268,3731.41
1-S16-1,1693,35006.5,31216.7,1.41867,70.2707,1.00641,414657.0,5.0,31.0,67.0,375.487,437.929,108.44,2.30225,343.697,412.972,6.0,0.904667,979.0,0.433794,50.3365,4425.28
1-S17-1,1694,40726.5,34944.2,185.179,74.6634,1.0126,286938.0,5.0,33.0,71.0,543.694,491.824,98.44,2.0354,525.418,575.417,9.0,0.879959,1479.0,0.467123,55.5545,5957.02
1-S24-1,1696,38737.7,40110.0,1.38045,67.8925,1.06232,243200.0,4.0,26.0,56.0,439.414,706.858,90.86,2.38968,700.915,773.15,8.0,0.842845,1056.0,0.53432,49.7189,4758.11
1-S25-1,1697,31571.8,32080.6,1.31853,71.0054,1.01219,253730.0,3.0,16.0,35.0,299.891,859.298,123.55,2.3044,758.934,824.195,5.0,0.854678,977.0,0.60625,55.0398,3909.24
1-S3-1,1698,37536.3,40597.2,1.36329,75.3643,1.01625,424391.0,5.0,22.0,49.0,440.304,438.814,89.6,2.40219,324.136,428.723,5.0,0.850058,960.0,0.625,62.4664,4410.58
1-S3-A1,1699,30565.8,24469.0,1.34131,79.8335,1.00881,224437.0,5.0,36.0,77.0,274.637,439.462,76.07,2.11358,270.918,322.261,7.0,0.887357,1186.0,0.351903,59.0648,4213.93
1-S3-A2,1700,22102.6,24423.2,1.21156,73.6981,1.00717,259359.0,5.0,16.0,37.0,247.558,425.525,91.05,2.65428,283.266,329.64,5.0,0.909762,538.0,0.41875,57.4,2333.79
1-S3-B1,1701,27253.4,22254.2,1.48753,76.5258,1.00845,297574.0,6.0,26.0,58.0,366.979,412.806,78.47,2.19743,361.31,429.798,5.0,0.891672,974.0,0.620879,58.859,3584.98
1-S4-1,1702,53747.3,60390.7,1.28775,78.1108,1.01628,385593.0,6.0,24.0,54.0,431.863,1166.33,105.09,2.40693,861.949,943.524,5.0,0.842062,1601.0,0.472222,47.347,6293.17
