neuron_id,neuron_name,archive,note,age_scale,gender,age_classification,species,strain,scientific_name,stain,experiment_condition,protocol,slicing_direction,reconstruction_software,objective_type,original_format,domain,attributes,magnification,shrinkage_reported,shrinkage_corrected,slicing_thickness,min_age,max_age,min_weight,max_weight,reference_doi,primary_brain_region,secondary_brain_region,tertiary_brain_region,tertiary_cell_class,secondary_cell_class,primary_cell_class,physical_integrity
1687,1-S1-A1,lewis,"when originally released, this reconstruction had been incompletely processed, and this issue was fixed in release 7.0 (sep 2015). the original files are still available for download <a href="" dablefiles/previous/v7.0/lewis.tar.gz "">here</a>. for any question or clarification, please <a href="" mailto:nmadmin@gmu.edu"">contact us</a>.",year,male/female,adult,human,not applicable,,golgi,control,in vitro,not reported,eutectic,oil,eutectic.nts,"dendrites, soma, no axon","diameter, 3d, no angles",60,not reported,,120,23,72,not reported,not reported,10.1001/archneur.1996.00550120089021,neocortex,frontal,inferior frontal gyrus,magnopyramidal,pyramidal,principal cell,dendrites incomplete
1688,1-S1-B2,lewis,"when originally released, this reconstruction had been incompletely processed, and this issue was fixed in release 7.0 (sep 2015). the original files are still available for download <a href="" dablefiles/previous/v7.0/lewis.tar.gz "">here</a>. for any question or clarification, please <a href="" mailto:nmadmin@gmu.edu"">contact us</a>.",year,male/female,adult,human,not applicable,,golgi,control,in vitro,not reported,eutectic,oil,eutectic.nts,"dendrites, soma, no axon","diameter, 3d, no angles",60,not reported,,120,23,72,not reported,not reported,10.1001/archneur.1996.00550120089021,neocortex,frontal,inferior frontal gyrus,magnopyramidal,pyramidal,principal cell,dendrites incomplete
1689,1-S1-B4,lewis,"when originally released, this reconstruction had been incompletely processed, and this issue was fixed in release 7.0 (sep 2015). the original files are still available for download <a href="" dablefiles/previous/v7.0/lewis.tar.gz "">here</a>. for any question or clarification, please <a href="" mailto:nmadmin@gmu.edu"">contact us</a>.",year,male/female,adult,human,not applicable,,golgi,control,in vitro,not reported,eutectic,oil,eutectic.nts,"dendrites, soma, no axon","diameter, 3d, no angles",60,not reported,,120,23,72,not reported,not reported,10.1001/archneur.1996.00550120089021,neocortex,frontal,inferior frontal gyrus,magnopyramidal,pyramidal,principal cell,dendrites incomplete
1690,1-S11-A1,lewis,"when originally released, this reconstruction had been incompletely processed, and this issue was fixed in release 7.0 (sep 2015). the original files are still available for download <a href="" dablefiles/previous/v7.0/lewis.tar.gz "">here</a>. for any question or clarification, please <a href="" mailto:nmadmin@gmu.edu"">contact us</a>.",year,male/female,adult,human,not applicable,,golgi,control,in vitro,not reported,eutectic,oil,eutectic.nts,"dendrites, soma, no axon","diameter, 3d, no angles",60,not reported,,120,23,72,not reported,not reported,10.1001/archneur.1996.00550120089021,neocortex,frontal,inferior frontal gyrus,magnopyramidal,pyramidal,principal cell,dendrites incomplete
1691,1-S12-1,lewis,"when originally released, this reconstruction had been incompletely processed, and this issue was fixed in release 7.0 (sep 2015). the original files are still available for download <a href="" dablefiles/previous/v7.0/lewis.tar.gz "">here</a>. for any question or clarification, please <a href="" mailto:nmadmin@gmu.edu"">contact us</a>.",year,male/female,adult,human,not applicable,,golgi,control,in vitro,not reported,eutectic,oil,eutectic.nts,"dendrites, soma, no axon","diameter, 3d, no angles",60,not reported,,120,23,72,not reported,not reported,10.1001/archneur.1996.00550120089021,neocortex,frontal,inferior frontal gyrus,magnopyramidal,pyramidal,principal cell,dendrites incomplete
1692,1-S12-A2,lewis,"when originally released, this reconstruction had been incompletely processed, and this issue was fixed in release 7.0 (sep 2015). the original files are still available for download <a href="" dablefiles/previous/v7.0/lewis.tar.gz "">here</a>. for any question or clarification, please <a href="" mailto:nmadmin@gmu.edu"">contact us</a>.",year,male/female,adult,human,not applicable,,golgi,control,in vitro,not reported,eutectic,oil,eutectic.nts,"dendrites, soma, no axon","diameter, 3d, no angles",60,not reported,,120,23,72,not reported,not reported,10.1001/archneur.1996.00550120089021,neocortex,frontal,inferior frontal gyrus,magnopyramidal,pyramidal,principal cell,dendrites incomplete
1693,1-S16-1,lewis,"when originally released, this reconstruction had been incompletely processed, and this issue was fixed in release 7.0 (sep 2015). the original files are still available for download <a href="" dablefiles/previous/v7.0/lewis.tar.gz "">here</a>. for any question or clarification, please <a href="" mailto:nmadmin@gmu.edu"">contact us</a>.",year,male/female,adult,human,not applicable,,golgi,control,in vitro,not reported,eutectic,oil,eutectic.nts,"dendrites, soma, no axon","diameter, 3d, no angles",60,not reported,,120,23,72,not reported,not reported,10.1001/archneur.1996.00550120089021,neocortex,frontal,inferior frontal gyrus,magnopyramidal,pyramidal,principal cell,dendrites incomplete
1694,1-S17-1,lewis,"when originally released, this reconstruction had been incompletely processed, and this issue was fixed in release 7.0 (sep 2015). the original files are still available for download <a href="" dablefiles/previous/v7.0/lewis.tar.gz "">here</a>. for any question or clarification, please <a href="" mailto:nmadmin@gmu.edu"">contact us</a>.",year,male/female,adult,human,not applicable,,golgi,control,in vitro,not reported,eutectic,oil,eutectic.nts,"dendrites, soma, no axon","diameter, 3d, no angles",60,not reported,,120,23,72,not reported,not reported,10.1001/archneur.1996.00550120089021,neocortex,frontal,inferior frontal gyrus,magnopyramidal,pyramidal,principal cell,dendrites incomplete
1696,1-S24-1,lewis,"when originally released, this reconstruction had been incompletely processed, and this issue was fixed in release 7.0 (sep 2015). the original files are still available for download <a href="" dablefiles/previous/v7.0/lewis.tar.gz "">here</a>. for any question or clarification, please <a href="" mailto:nmadmin@gmu.edu"">contact us</a>.",year,male/female,adult,human,not applicable,,golgi,control,in vitro,not reported,eutectic,oil,eutectic.nts,"dendrites, soma, no axon","diameter, 3d, no angles",60,not reported,,120,23,72,not reported,not reported,10.1001/archneur.1996.00550120089021,neocortex,frontal,inferior frontal gyrus,magnopyramidal,pyramidal,principal cell,dendrites incomplete
1697,1-S25-1,lewis,"when originally released, this reconstruction had been incompletely processed, and this issue was fixed in release 7.0 (sep 2015). the original files are still available for download <a href="" dablefiles/previous/v7.0/lewis.tar.gz "">here</a>. for any question or clarification, please <a href="" mailto:nmadmin@gmu.edu"">contact us</a>.",year,male/female,adult,human,not applicable,,golgi,control,in vitro,not reported,eutectic,oil,eutectic.nts,"dendrites, soma, no axon","diameter, 3d, no angles",60,not reported,,120,23,72,not reported,not reported,10.1001/archneur.1996.00550120089021,neocortex,frontal,inferior frontal gyrus,magnopyramidal,pyramidal,principal cell,dendrites incomplete
