neuron_id,neuron_name,archive,note,age_scale,gender,age_classification,species,strain,scientific_name,stain,experiment_condition,protocol,slicing_direction,reconstruction_software,objective_type,original_format,domain,attributes,magnification,shrinkage_reported,shrinkage_corrected,slicing_thickness,min_age,max_age,min_weight,max_weight,reference_doi,primary_brain_region,secondary_brain_region,tertiary_brain_region,primary_cell_class,secondary_cell_class,tertiary_cell_class,physical_integrity
140082,20171005A01,linaro,human embryonic stem cell (h9-gfp)-derived cortical progenitor neurons at 25 div were xenotransplanted into the lateral ventricles of the neonatal (p0/p1) mouse brain. this reconstruction is from an acute mouse brain slice 32 days post-grafting,not reported,female,not reported,human,not applicable,,biocytin,control,in vitro,coronal,shutu,oil,shutu.swc,"dendrites, soma, no axon","no diameter, 3d, angles",63.0,not reported,,300.0,not reported,not reported,not reported,not reported,10.1016/j.neuron.2019.10.002,neocortex,somatosensory,layer 5,principal cell,pyramidal,not reported,dendrites moderate
140087,20171005C01,linaro,human embryonic stem cell (h9-gfp)-derived cortical progenitor neurons at 25 div were xenotransplanted into the lateral ventricles of the neonatal (p0/p1) mouse brain. this reconstruction is from an acute mouse brain slice 32 days post-grafting,not reported,female,not reported,human,not applicable,,biocytin,control,in vitro,coronal,shutu,oil,shutu.swc,"dendrites, soma, no axon","diameter, 3d, angles",63.0,not reported,,300.0,not reported,not reported,not reported,not reported,10.1016/j.neuron.2019.10.002,neocortex,somatosensory,layer 5,principal cell,pyramidal,not reported,dendrites moderate
140078,20171012A01,linaro,human embryonic stem cell (h9-gfp)-derived cortical progenitor neurons at 25 div were xenotransplanted into the lateral ventricles of the neonatal (p0/p1) mouse brain. this reconstruction is from an acute mouse brain slice 39 days post-grafting,not reported,female,not reported,human,not applicable,,biocytin,control,in vitro,coronal,shutu,oil,shutu.swc,"dendrites, soma, axon","diameter, 3d, angles",63.0,not reported,,300.0,not reported,not reported,not reported,not reported,10.1016/j.neuron.2019.10.002,neocortex,somatosensory,layer 2-3,principal cell,pyramidal,not reported,"dendrites moderate, axon incomplete"
140081,20171012B01,linaro,human embryonic stem cell (h9-gfp)-derived cortical progenitor neurons at 25 div were xenotransplanted into the lateral ventricles of the neonatal (p0/p1) mouse brain. this reconstruction is from an acute mouse brain slice 155 days post-grafting,not reported,female,not reported,human,not applicable,,biocytin,control,in vitro,coronal,shutu,oil,shutu.swc,"dendrites, soma, axon","diameter, 3d, angles",63.0,not reported,,300.0,not reported,not reported,not reported,not reported,10.1016/j.neuron.2019.10.002,neocortex,somatosensory,layer 5,principal cell,pyramidal,not reported,"dendrites moderate, axon incomplete"
140077,20171018A01,linaro,human embryonic stem cell (h9-gfp)-derived cortical progenitor neurons at 25 div were xenotransplanted into the lateral ventricles of the neonatal (p0/p1) mouse brain. this reconstruction is from an acute mouse brain slice 45 days post-grafting,not reported,female,not reported,human,not applicable,,biocytin,control,in vitro,coronal,shutu,oil,shutu.swc,"dendrites, soma, no axon","diameter, 3d, angles",63.0,not reported,,250.0,not reported,not reported,not reported,not reported,10.1016/j.neuron.2019.10.002,neocortex,somatosensory,layer 5,principal cell,pyramidal,not reported,dendrites moderate
140084,20171018D01,linaro,human embryonic stem cell (h9-gfp)-derived cortical progenitor neurons at 25 div were xenotransplanted into the lateral ventricles of the neonatal (p0/p1) mouse brain. this reconstruction is from an acute mouse brain slice 45 days post-grafting,not reported,female,not reported,human,not applicable,,biocytin,control,in vitro,coronal,shutu,oil,shutu.swc,"dendrites, soma, axon","no diameter, 3d, angles",63.0,not reported,,250.0,not reported,not reported,not reported,not reported,10.1016/j.neuron.2019.10.002,neocortex,somatosensory,not reported,principal cell,pyramidal,not reported,"dendrites moderate, axon incomplete"
140079,20171124B01,linaro,human embryonic stem cell (h9-gfp)-derived cortical progenitor neurons at 25 div were xenotransplanted into the lateral ventricles of the neonatal (p0/p1) mouse brain. this reconstruction is from an acute mouse brain slice 80 days post-grafting,not reported,female,not reported,human,not applicable,,biocytin,control,in vitro,coronal,shutu,oil,shutu.swc,"dendrites, soma, no axon","diameter, 3d, angles",63.0,not reported,,275.0,not reported,not reported,not reported,not reported,10.1016/j.neuron.2019.10.002,neocortex,somatosensory,layer 5,principal cell,pyramidal,not reported,dendrites moderate
140083,20171124C01,linaro,human embryonic stem cell (h9-gfp)-derived cortical progenitor neurons at 25 div were xenotransplanted into the lateral ventricles of the neonatal (p0/p1) mouse brain. this reconstruction is from an acute mouse brain slice 80 days post-grafting,not reported,female,not reported,human,not applicable,,biocytin,control,in vitro,coronal,shutu,oil,shutu.swc,"dendrites, soma, no axon","diameter, 3d, angles",63.0,not reported,,275.0,not reported,not reported,not reported,not reported,10.1016/j.neuron.2019.10.002,neocortex,somatosensory,layer 5,principal cell,pyramidal,not reported,dendrites moderate
140086,20180109B01,linaro,human embryonic stem cell (h9-gfp)-derived cortical progenitor neurons at 25 div were xenotransplanted into the lateral ventricles of the neonatal (p0/p1) mouse brain. this reconstruction is from an acute mouse brain slice 77 days post-grafting,not reported,female,not reported,human,not applicable,,biocytin,control,in vitro,coronal,shutu,oil,shutu.swc,"dendrites, soma, axon","diameter, 3d, angles",63.0,not reported,,250.0,not reported,not reported,not reported,not reported,10.1016/j.neuron.2019.10.002,neocortex,somatosensory,layer 5,principal cell,pyramidal,not reported,"dendrites moderate, axon incomplete"
140085,20180109C01,linaro,human embryonic stem cell (h9-gfp)-derived cortical progenitor neurons at 25 div were xenotransplanted into the lateral ventricles of the neonatal (p0/p1) mouse brain. this reconstruction is from an acute mouse brain slice 77 days post-grafting,not reported,female,not reported,human,not applicable,,biocytin,control,in vitro,coronal,shutu,oil,shutu.swc,"dendrites, soma, no axon","diameter, 3d, angles",63.0,not reported,,250.0,not reported,not reported,not reported,not reported,10.1016/j.neuron.2019.10.002,neocortex,somatosensory,layer 5,principal cell,pyramidal,not reported,dendrites moderate
