neuron_name,neuron_id,neurite_surface_nmo,neurite_volume_nmo,pk_classic_nmo,bif_ampl_local_nmo,fractal_dim_nmo,soma_surface_nmo,n_stems_nmo,n_bifs_nmo,n_branch_nmo,width_nmo,height_nmo,depth_nmo,diameter_nmo,euc_distance_nmo,path_distance_nmo,branch_order_nmo,contraction_nmo,fragmentation_nmo,partition_asymmetry_nmo,bif_ampl_remote_nmo,neurite_length_nmo
Green2-8-30-12_sec1_Neuron7,85630,15058.8,6558.18,1.65024,76.5433,1.02854,958.599,5.0,40.0,85.0,216.93,252.05,79.96,1.58792,204.97,233.952,6.0,0.899121,736.0,0.480238,58.2542,2986.04
Green3_1-10-13_sec2_Neuron2,85591,9304.47,3814.57,1.57867,75.5215,1.02772,862.663,4.0,21.0,46.0,184.014,198.13,74.67,1.52264,155.638,194.778,7.0,0.922357,364.0,0.487982,65.438,1922.93
Green3_1-29-13_sec2_Neuron2,85608,17463.5,7271.53,1.69133,55.6926,1.01597,1264.44,6.0,32.0,70.0,243.315,358.633,84.92,1.55651,274.156,356.008,6.0,0.938649,518.0,0.462798,51.4408,3481.69
Green3_1-29-13_sec2_Neuron3,85609,11646.4,5716.75,1.69935,57.9324,1.01345,1919.11,4.0,18.0,40.0,316.228,379.141,74.87,1.78145,325.048,360.12,6.0,0.945296,289.0,0.611111,54.8758,2013.37
Green3_1-29-13_sec2_Neuron4,85610,13412.7,5949.28,1.58903,58.3442,1.01765,1158.14,5.0,28.0,61.0,161.87,341.949,79.81,1.6576,277.136,306.598,10.0,0.935939,405.0,0.494697,47.947,2543.93
Green4_1-10-13_sec2_Neuron3,85592,5751.31,2339.5,1.50033,67.7229,1.01968,612.841,4.0,11.0,26.0,127.06,318.54,53.63,1.54478,287.206,312.077,4.0,0.939482,209.0,0.727273,59.5823,1180.34
Green4_1-10-13_sec2_Neuron5,85594,7919.7,3217.14,1.60289,63.5756,1.02438,613.024,5.0,23.0,51.0,128.5,242.59,91.16,1.49749,186.073,220.689,6.0,0.923969,338.0,0.344203,60.2039,1632.82
Orange3_1-29-13_sec3_Neuron4,85606,17971.1,8083.03,1.67312,66.8174,1.02505,1286.1,5.0,30.0,65.0,166.431,350.659,92.85,1.73032,230.316,256.897,6.0,0.910489,628.0,0.569206,60.7619,3267.12
Orange3_3-22-13_sec1_Neuron5,85624,11107.3,4662.39,1.68601,57.6423,1.02254,876.158,4.0,26.0,56.0,175.84,277.4,87.24,1.58596,189.255,221.671,8.0,0.936081,448.0,0.516239,52.027,2178.53
Orange4_1-29-13_sec1_Neuron1,85607,11729.0,4714.07,1.5764,62.8868,1.0206,1197.25,3.0,21.0,45.0,293.422,387.719,118.63,1.5287,266.843,314.15,8.0,0.944065,509.0,0.503061,64.2235,2408.32
